"Judge","Candidate.Chosen","Candidate.Not.Chosen"
122,170,82
122,48,7
122,36,116
122,48,79
122,59,46
122,36,160
122,51,46
122,51,102
122,19,159
122,170,7
122,9,82
122,37,5
122,19,102
122,143,9
122,116,37
157,163,113
157,121,149
157,25,29
157,107,59
157,143,125
157,158,149
157,96,112
157,107,102
157,96,1
157,119,79
157,97,59
157,119,82
157,25,125
157,135,79
157,1,102
157,112,113
157,143,97
157,135,29
157,158,82
166,6,108
166,49,126
166,54,80
166,48,80
166,37,79
166,87,144
166,20,97
166,139,1
166,54,131
166,10,46
166,155,49
166,147,6
166,167,25
166,37,157
166,108,136
166,38,131
166,19,35
166,20,1
166,34,22
166,25,139
166,54,19
166,154,48
166,157,46
166,22,93
166,136,55
166,95,79
166,10,93
166,106,30
166,30,145
166,145,147
166,155,97
166,126,34
166,95,38
166,154,106
166,35,167
166,97,87
167,131,134
167,80,152
167,77,121
167,104,53
167,100,82
167,98,46
167,95,103
167,152,102
167,125,106
167,30,56
167,20,56
167,27,91
167,103,134
167,100,9
167,30,147
167,20,80
167,89,145
167,77,117
167,10,107
167,82,46
167,150,131
167,89,102
167,27,98
167,150,106
167,53,50
167,114,9
167,4,50
167,126,114
167,104,147
167,107,111
167,103,145
167,107,95
167,117,124
167,10,98
167,124,98
167,111,125
167,121,107
167,103,5
112,124,31
112,39,9
112,165,42
112,37,124
112,35,139
112,28,150
112,30,151
112,151,3
112,150,44
112,42,1
112,9,1
112,35,131
112,135,37
112,131,50
112,135,139
112,39,50
112,28,30
33,84,79
33,156,147
33,164,86
33,145,107
33,108,157
33,164,151
33,139,79
33,108,126
33,98,139
33,155,92
33,157,107
33,32,19
33,19,159
33,151,34
33,111,145
33,159,84
33,98,126
33,160,111
33,34,160
33,155,86
145,11,149
145,121,136
145,52,2
145,104,122
145,46,86
145,97,57
145,156,148
145,20,102
145,170,124
145,170,86
145,35,2
145,21,46
145,32,149
145,104,162
145,136,124
145,57,24
145,121,153
145,156,102
145,52,85
145,85,164
145,20,158
145,35,11
145,21,162
145,7,97
145,148,7
145,32,153
31,165,102
31,99,2
31,97,169
31,169,84
31,127,6
31,127,53
31,100,2
31,105,1
31,119,1
31,52,116
31,165,99
31,119,125
31,100,116
31,105,84
31,128,125
31,163,128
31,34,55
31,52,97
31,53,102
31,152,6
11,10,144
11,6,76
11,55,82
11,42,76
11,137,36
11,38,126
11,107,55
11,42,82
11,27,126
11,49,92
11,137,10
11,112,30
11,112,37
11,92,30
11,37,144
11,49,6
11,27,107
11,36,128
98,20,91
98,168,109
98,145,19
98,130,27
98,154,148
98,93,57
98,157,120
98,168,93
98,27,3
98,148,3
98,19,154
98,20,39
98,96,157
98,120,147
98,39,96
98,130,147
98,145,109
98,170,57
98,91,140
116,52,60
116,117,49
116,53,108
116,40,160
116,6,60
116,118,127
116,21,127
116,40,138
116,45,131
116,108,153
116,25,42
116,117,37
116,160,152
116,54,86
116,21,124
116,33,49
116,138,131
116,118,152
116,52,53
116,29,47
116,29,6
116,54,46
116,131,86
116,118,2
116,10,153
116,92,93
116,20,55
116,2,93
116,55,131
116,47,165
116,92,6
116,118,42
116,37,6
116,33,124
1002,164,46
1002,124,101
1002,167,124
1002,169,86
1002,59,8
1002,119,109
1002,169,54
1002,86,128
1002,23,46
1002,49,8
1002,49,87
1002,125,109
1002,147,125
1002,93,128
1002,147,93
1002,167,87
1002,23,59
1002,54,101
1002,119,131
92,94,127
92,32,79
92,150,149
92,89,91
92,53,106
92,79,1
