"","Candidate.Not.Chosen","Candidate.Chosen","Judge","A","B","choseA","choseB","theta1","raw1","theta2","raw2","probTheta","probRaw"
"97",86,104,2,86,104,0,1,3.36215208571773,0.823529411764706,1.03306339881636,0.46875,0.911257669085392,0.08777609201221
"98",86,1010,8,1010,86,1,0,2.02999650288409,0.645161290322581,1.03306339881636,0.46875,0.730455163164801,0.0439888006276394
"101",87,89,6,89,87,1,0,-0.0368289426850725,0.636363636363636,-1.21750642720039,0.333333333333333,0.765069595416574,0.0751831319371524
"104",87,89,7,87,89,0,1,-0.0368289426850725,0.636363636363636,-1.21750642720039,0.333333333333333,0.765069595416574,0.0751831319371524
"105",87,104,1,104,87,1,0,3.36215208571773,0.823529411764706,-1.21750642720039,0.333333333333333,0.989845767359018,0.120152622322785
"106",87,106,4,87,106,0,1,2.76181078155414,0.75,-1.21750642720039,0.333333333333333,0.98164481062593,0.102685337978492
"107",87,107,8,87,107,0,1,2.18298377408676,0.548387096774194,-1.21750642720039,0.333333333333333,0.967719851789514,0.0535571898360083
"108",87,89,3,87,89,0,1,-0.0368289426850725,0.636363636363636,-1.21750642720039,0.333333333333333,0.765069595416574,0.0751831319371524
"109",87,83,7,87,83,0,1,1.59598291811557,0.625,-1.21750642720039,0.333333333333333,0.943400425016805,0.0724041114770213
"110",87,81,4,81,87,1,0,1.62910413735939,0.575757575757576,-1.21750642720039,0.333333333333333,0.9451432138779,0.060310978941578
"112",87,105,8,105,87,1,0,2.36224708388596,0.620689655172414,-1.21750642720039,0.333333333333333,0.972873778617948,0.0713487939127683
"113",87,108,3,87,108,0,1,1.84648060210527,0.580645161290323,-1.21750642720039,0.333333333333333,0.955382559856523,0.0615147399167789
"114",87,104,9,87,104,0,1,3.36215208571773,0.823529411764706,-1.21750642720039,0.333333333333333,0.989845767359018,0.120152622322785
"116",87,105,4,105,87,1,0,2.36224708388596,0.620689655172414,-1.21750642720039,0.333333333333333,0.972873778617948,0.0713487939127683
"118",87,106,9,106,87,1,0,2.76181078155414,0.75,-1.21750642720039,0.333333333333333,0.98164481062593,0.102685337978492
"120",87,89,2,89,87,1,0,-0.0368289426850725,0.636363636363636,-1.21750642720039,0.333333333333333,0.765069595416574,0.0751831319371524
"121",87,89,3,89,87,1,0,-0.0368289426850725,0.636363636363636,-1.21750642720039,0.333333333333333,0.765069595416574,0.0751831319371524
"123",88,81,9,88,81,0,1,1.62910413735939,0.575757575757576,-2.54649798970768,0.258064516129032,0.984866602208748,0.0787619304486797
"124",88,85,7,85,88,1,0,-1.53947212847639,0.5625,-2.54649798970768,0.258064516129032,0.732437702266941,0.0755264480315131
"125",88,102,3,102,88,1,0,-0.815766714889754,0.4375,-2.54649798970768,0.258064516129032,0.849505934419979,0.0447388967986641
"126",88,89,9,89,88,1,0,-0.0368289426850725,0.636363636363636,-2.54649798970768,0.258064516129032,0.924816882388368,0.0934628060045918
"128",88,89,4,89,88,1,0,-0.0368289426850725,0.636363636363636,-2.54649798970768,0.258064516129032,0.924816882388368,0.0934628060045918
"131",88,89,4,88,89,0,1,-0.0368289426850725,0.636363636363636,-2.54649798970768,0.258064516129032,0.924816882388368,0.0934628060045918
"132",88,87,1,87,88,1,0,-1.21750642720039,0.333333333333333,-2.54649798970768,0.258064516129032,0.79067377847764,0.0188083254235916
"133",88,102,2,102,88,1,0,-0.815766714889754,0.4375,-2.54649798970768,0.258064516129032,0.849505934419979,0.0447388967986641
"134",88,108,1,88,108,0,1,1.84648060210527,0.580645161290323,-2.54649798970768,0.258064516129032,0.987787150345217,0.0799530460821379
"136",88,1010,6,88,1010,0,1,2.02999650288409,0.645161290322581,-2.54649798970768,0.258064516129032,0.989813916058561,0.0955836118631216
"137",88,89,2,88,89,0,1,-0.0368289426850725,0.636363636363636,-2.54649798970768,0.258064516129032,0.924816882388368,0.0934628060045918
"138",88,87,3,88,87,0,1,-1.21750642720039,0.333333333333333,-2.54649798970768,0.258064516129032,0.79067377847764,0.0188083254235916
"140",88,83,8,88,83,0,1,1.59598291811557,0.625,-2.54649798970768,0.258064516129032,0.984364940523133,0.0907182762731973
"142",88,106,1,88,106,0,1,2.76181078155414,0.75,-2.54649798970768,0.258064516129032,0.99507409295909,0.120562276771874
"143",88,102,2,102,88,1,0,-0.815766714889754,0.4375,-2.54649798970768,0.258064516129032,0.849505934419979,0.0447388967986641
"144",88,89,3,88,89,0,1,-0.0368289426850725,0.636363636363636,-2.54649798970768,0.258064516129032,0.924816882388368,0.0934628060045918
"145",89,83,8,89,83,0,1,1.59598291811557,0.625,-0.0368289426850725,0.636363636363636,0.836554471493124,0.00284087852022635
"146",89,108,4,89,108,0,1,1.84648060210527,0.580645161290323,-0.0368289426850725,0.636363636363636,0.867990805315707,0.0139260161220701
"147",89,105,1,89,105,0,1,2.36224708388596,0.620689655172414,-0.0368289426850725,0.636363636363636,0.916756818771839,0.00391841507717766
"148",89,84,9,89,84,0,1,-2.32596593709799,0.34375,-0.0368289426850725,0.636363636363636,0.907973364662488,0.072635873641622
"149",89,87,4,89,87,0,1,-1.21750642720039,0.333333333333333,-0.0368289426850725,0.636363636363636,0.765069595416574,0.0751831319371524
"150",89,81,2,89,81,0,1,1.62910413735939,0.575757575757576,-0.0368289426850725,0.636363636363636,0.841032841616343,0.0151468791086855
"152",89,107,1,107,89,1,0,2.18298377408676,0.548387096774194,-0.0368289426850725,0.636363636363636,0.902014644065521,0.021979959887014
"153",89,81,6,81,89,1,0,1.62910413735939,0.575757575757576,-0.0368289426850725,0.636363636363636,0.841032841616343,0.0151468791086855
"154",89,82,6,89,82,0,1,-1.26986306238895,0.363636363636364,-0.0368289426850725,0.636363636363636,0.774349174951576,0.0677623235383435
"155",89,106,6,106,89,1,0,2.76181078155414,0.75,-0.0368289426850725,0.636363636363636,0.942602273085243,0.0283785592571777
"156",89,81,9,81,89,1,0,1.62910413735939,0.575757575757576,-0.0368289426850725,0.636363636363636,0.841032841616343,0.0151468791086855
"157",91,102,1,91,102,0,1,-0.815766714889754,0.4375,-2.05348562268823,0.375,0.775166707585271,0.0156199157230157
"158",91,89,7,89,91,1,0,-0.0368289426850725,0.636363636363636,-2.05348562268823,0.375,0.88253485992475,0.0649714742304072
"159",91,89,7,91,89,0,1,-0.0368289426850725,0.636363636363636,-2.05348562268823,0.375,0.88253485992475,0.0649714742304072
"165",91,83,3,83,91,1,0,1.59598291811557,0.625,-2.05348562268823,0.375,0.974654171225945,0.0621765008857981
"166",91,101,1,101,91,1,0,1.41467206018307,0.451612903225806,-2.05348562268823,0.375,0.969768052223739,0.0191438629214594
"168",91,81,9,91,81,0,1,1.62910413735939,0.575757575757576,-2.05348562268823,0.375,0.975459642001149,0.0500215027796956
"169",91,108,8,91,108,0,1,1.84648060210527,0.580645161290323,-2.05348562268823,0.375,0.980159037440043,0.0512308716078442
"174",91,102,6,91,102,0,1,-0.815766714889754,0.4375,-2.05348562268823,0.375,0.775166707585271,0.0156199157230157
"175",91,94,3,91,94,0,1,-3.35202592843506,0.21875,-2.05348562268823,0.375,0.785589216392048,0.0389832206876841
"177",92,86,3,86,92,1,0,1.03306339881636,0.46875,-1.45144235696639,0.352941176470588,0.923048452401895,0.0289198910691805
"178",92,83,2,83,92,1,0,1.59598291811557,0.625,-1.45144235696639,0.352941176470588,0.954671238044196,0.0675982731541152
"179",92,86,2,92,86,0,1,1.03306339881636,0.46875,-1.45144235696639,0.352941176470588,0.923048452401895,0.0289198910691805
"181",92,83,2,83,92,1,0,1.59598291811557,0.625,-1.45144235696639,0.352941176470588,0.954671238044196,0.0675982731541152
"182",92,83,3,92,83,0,1,1.59598291811557,0.625,-1.45144235696639,0.352941176470588,0.954671238044196,0.0675982731541152
"183",92,86,2,92,86,0,1,1.03306339881636,0.46875,-1.45144235696639,0.352941176470588,0.923048452401895,0.0289198910691805
"184",92,1010,8,1010,92,1,0,2.02999650288409,0.645161290322581,-1.45144235696639,0.352941176470588,0.970155009523781,0.0725395664751448
"185",92,105,7,105,92,1,0,2.36224708388596,0.620689655172414,-1.45144235696639,0.352941176470588,0.978409807355568,0.0665400764918982
"186",92,105,1,105,92,1,0,2.36224708388596,0.620689655172414,-1.45144235696639,0.352941176470588,0.978409807355568,0.0665400764918982
"188",92,107,1,92,107,0,1,2.18298377408676,0.548387096774194,-1.45144235696639,0.352941176470588,0.974279907127095,0.048706533187046
"189",92,84,9,84,92,1,0,-2.32596593709799,0.34375,-1.45144235696639,0.352941176470588,0.705686088351493,0.00229777794174874
"190",92,108,1,92,108,0,1,1.84648060210527,0.580645161290323,-1.45144235696639,0.352941176470588,0.964357487235322,0.0566813013527727
"191",92,88,7,88,92,1,0,-2.54649798970768,0.258064516129032,-1.45144235696639,0.352941176470588,0.749332534230809,0.0237013885886977
"192",92,95,6,92,95,0,1,-2.50805286771996,0.393939393939394,-1.45144235696639,0.352941176470588,0.742042276860971,0.0102481189415774
"193",92,88,6,88,92,1,0,-2.54649798970768,0.258064516129032,-1.45144235696639,0.352941176470588,0.749332534230809,0.0237013885886977
"194",92,106,4,106,92,1,0,2.76181078155414,0.75,-1.45144235696639,0.352941176470588,0.985417642389137,0.0979808061999469
"195",92,101,6,101,92,1,0,1.41467206018307,0.451612903225806,-1.45144235696639,0.352941176470588,0.946145704835397,0.0246479370149437
"196",92,101,6,92,101,0,1,1.41467206018307,0.451612903225806,-1.45144235696639,0.352941176470588,0.946145704835397,0.0246479370149437
"197",92,104,9,104,92,1,0,3.36215208571773,0.823529411764706,-1.45144235696639,0.352941176470588,0.991946756014767,0.115522974343209
"198",92,84,4,84,92,1,0,-2.32596593709799,0.34375,-1.45144235696639,0.352941176470588,0.705686088351493,0.00229777794174874
"199",93,81,8,81,93,1,0,1.62910413735939,0.575757575757576,-1.76534391088496,0.375,0.967530571829468,0.0500215027796956
"201",93,102,8,102,93,1,0,-0.815766714889754,0.4375,-1.76534391088496,0.375,0.72103014077334,0.0156199157230157
"202",93,83,1,83,93,1,0,1.59598291811557,0.625,-1.76534391088496,0.375,0.966473795513989,0.0621765008857981
"203",93,103,7,93,103,0,1,3.72288843644822,0.838709677419355,-1.76534391088496,0.375,0.995881881803278,0.113893844930814
"205",93,104,9,93,104,0,1,3.36215208571773,0.823529411764706,-1.76534391088496,0.375,0.994103579866525,0.110289531584726
"207",93,89,1,89,93,1,0,-0.0368289426850725,0.636363636363636,-1.76534391088496,0.375,0.84922236983006,0.0649714742304072
"209",93,108,2,93,108,0,1,1.84648060210527,0.580645161290323,-1.76534391088496,0.375,0.973707430617304,0.0512308716078442
"213",93,103,8,103,93,1,0,3.72288843644822,0.838709677419355,-1.76534391088496,0.375,0.995881881803278,0.113893844930814
"215",93,104,1,104,93,1,0,3.36215208571773,0.823529411764706,-1.76534391088496,0.375,0.994103579866525,0.110289531584726
"216",93,104,9,104,93,1,0,3.36215208571773,0.823529411764706,-1.76534391088496,0.375,0.994103579866525,0.110289531584726
"217",93,103,1,93,103,0,1,3.72288843644822,0.838709677419355,-1.76534391088496,0.375,0.995881881803278,0.113893844930814
"219",94,91,3,91,94,1,0,-2.05348562268823,0.375,-3.35202592843506,0.21875,0.785589216392048,0.0389832206876841
"220",94,89,7,94,89,0,1,-0.0368289426850725,0.636363636363636,-3.35202592843506,0.21875,0.964946492971358,0.102912073225732
"223",94,85,4,94,85,0,1,-1.53947212847639,0.5625,-3.35202592843506,0.21875,0.859670240918217,0.0851011542032312
"227",94,85,1,94,85,0,1,-1.53947212847639,0.5625,-3.35202592843506,0.21875,0.859670240918217,0.0851011542032312
"228",94,84,1,84,94,1,0,-2.32596593709799,0.34375,-3.35202592843506,0.21875,0.736151330277053,0.0312093733737563
"229",94,93,8,94,93,0,1,-1.76534391088496,0.375,-3.35202592843506,0.21875,0.830148773965189,0.0389832206876841
"230",94,109,9,94,109,0,1,-1.24514163618451,0.5,-3.35202592843506,0.21875,0.891570497107135,0.0698526514141571
"233",94,109,1,109,94,1,0,-1.24514163618451,0.5,-3.35202592843506,0.21875,0.891570497107135,0.0698526514141571
"234",94,84,8,94,84,0,1,-2.32596593709799,0.34375,-3.35202592843506,0.21875,0.736151330277053,0.0312093733737563
"235",94,102,8,102,94,1,0,-0.815766714889754,0.4375,-3.35202592843506,0.21875,0.926644955523799,0.0544704649604273
"238",94,91,2,94,91,0,1,-2.05348562268823,0.375,-3.35202592843506,0.21875,0.785589216392048,0.0389832206876841
"239",94,105,1,94,105,0,1,2.36224708388596,0.620689655172414,-3.35202592843506,0.21875,0.996712296991336,0.0991535937755412
"240",94,109,9,94,109,0,1,-1.24514163618451,0.5,-3.35202592843506,0.21875,0.891570497107135,0.0698526514141571
