participant_number,age_at_testing,school_recoded,activity_book,post_test,full_data,gender_recode,class,group,group_recode,SAT1_Maths,Y4_maths,SAT1_write,Y4_write,SAT1_read,Y4_read,SAT1_Maths_recoded,current_maths_recoded,SAT1_write_recoded,current_write_recoded,SAT1_read_recoded,current_read_recoded,lesson_1,lesson_2,lesson_3,exclude,Ravens_A_C,Numerical_op,Anxiety_1,Anxiety_2,Anxiety_3,Anxiety_4,Anxiety_5,Anxiety_6,Anxiety_7,Anxiety_8,Anxiety_9,Anxiety_10,Anxiety_total,algebra_1a,algebra_1b_corr,algebra_2a_corr,algebra_2b_corr,algebra_2c_corr,algebra_3_corr,algebra_4_corr,algebra_5_corr,algebra_6_corr,algebra_7_corr,algebra_8_corr,algebra_total,algebra_score,Written_expression,estimate
51,,1,1,1,1,0,5D,migen,1,1,3c,1,2c,1,2b,1,10,1,7,1,6,1,1,1,0,23,4,3,4,5,4,5,5,2,5,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1.626749202
52,9.8,1,1,1,1,0,5D,migen,1,2a,4c,2b,3a,2b,4c,5,13,6,8,6,13,1,1,1,0,29,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,5,5,8,-0.929957536
53,9.6,1,1,1,1,1,5D,grid algebra,0,2b,3b,2a,3a,2a,4c,6,9,5,8,5,13,1,1,1,0,26,13,2,2,5,5,1,2,1,2,1,3,2.4,1,1,0,0,0,0,0,0,1,0,0,3,3,9,-0.161417803
54,9.1,1,1,1,1,1,5D,migen,1,2a,3a,2a,4c,3b,4b,5,8,5,13,9,12,1,1,1,0,28,9,2,3,3,3,3,1,1,4,1,2,2.3,1,1,0,0,0,1,1,0,0,0,0,4,4,12,-1.375268939
55,9.3,1,1,1,1,0,5D,grid algebra,0,2b,3a,2b,3c,2b,3a,6,8,6,10,6,8,1,1,1,0,16,4,3,3,5,5,4,3,1,5,2,5,3.6,1,1,1,0,0,0,0,0,0,0,0,3,3,6,-0.864277275
56,9.2,1,1,1,1,1,5M,grid algebra,0,2a,3a,2a,3a,2a,4c,5,8,5,8,5,13,1,1,1,0,22,9,2,1,2,1,1,1,1,2,1,2,1.4,0,1,1,0,0,1,1,0,0,0,0,4,4,13,0.118505309
57,9.1,1,1,1,1,0,5M,migen,1,2c,3c,2c,3c,1,3c,7,10,7,10,1,10,1,1,1,0,19,8,3,2,1,2,3,1,5,5,1,2,2.5,1,1,0,1,0,1,0,0,0,0,0,4,4,11,-1.764931431
58,9.5,1,1,1,1,0,5M,grid algebra,0,2a,4c,2a,4c,3b,4b,5,13,5,13,9,12,1,1,1,0,25,18,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,4,4,9,-0.022357299
59,9.3,1,1,1,1,1,5D,migen,1,2b,3b,2c,3b,2b,3b,6,9,7,9,6,9,1,1,1,0,10,5,2,2,3,3,1,1,1,1,1,1,1.6,0,1,1,0,0,0,0,0,1,0,0,3,3,7,-1.017749992
60,9.7,1,1,1,1,1,5M,migen,1,1,2a,2c,3c,1,3b,1,5,7,10,1,9,1,1,1,0,15,13,2,3,1,1,2,1,1,2,2,2,1.7,0,0,1,0,0,0,0,0,0,0,0,1,1,5,-1.631489616
61,9.1,1,1,1,1,1,5D,grid algebra,0,2b,3b,2b,4c,2a,4c,6,9,6,13,5,13,1,1,1,0,27,10,1,2,1,1,1,1,1,2,2,1,1.3,0,1,1,0,0,1,0,0,0,0,0,3,3,9,0.705638023
62,10.1,1,1,1,1,0,5M,grid algebra,0,,4c,,3a,,4c,,13,,8,,13,1,1,1,0,29,12,1,1,1,2,1,2,1,4,2,4,1.9,1,1,1,1,0,1,1,0,0,0,0,6,6,18,-0.152717509
