participant_number,age_at_testing,school_recoded,activity_book,post_test,full_data,gender_recode,class,group,group_recode,SAT1_Maths,Y4_maths,SAT1_write,Y4_write,SAT1_read,Y4_read,SAT1_Maths_recoded,current_maths_recoded,SAT1_write_recoded,current_write_recoded,SAT1_read_recoded,current_read_recoded,lesson_1,lesson_2,lesson_3,exclude,Ravens_A_C,Numerical_op,Anxiety_1,Anxiety_2,Anxiety_3,Anxiety_4,Anxiety_5,Anxiety_6,Anxiety_7,Anxiety_8,Anxiety_9,Anxiety_10,Anxiety_total,algebra_1a,algebra_1b_corr,algebra_2a_corr,algebra_2b_corr,algebra_2c_corr,algebra_3_corr,algebra_4_corr,algebra_5_corr,algebra_6_corr,algebra_7_corr,algebra_8_corr,algebra_total,algebra_score,Written_expression,estimate
155,9.6,2,1,1,1,1,,grid algebra,0,2b,3b,2a,3a,3c,4c,6,9,5,8,10,13,1,1,1,0,18,11,1,1,1,1,2,1,1,2,1,2,1.3,0,1,0,0,0,0,0,0,1,1,0,3,3,16,-0.853395659
156,10.0,3,1,1,1,0,,grid algebra,0,3c,5c,3c,4a,3c,5c,10,16,10,11,10,16,1,1,1,0,30,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,7,7,18,1.032937737
157,10.4,3,1,1,1,0,,grid algebra,0,3c,4b,2a,4c,2a,4b,10,12,5,13,5,12,1,1,1,0,26,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,7,7,11,1.235909772
158,9.8,3,1,1,1,1,,grid algebra,0,2a,3a,2b,3a,2b,4c,5,8,6,8,6,13,1,1,1,0,24,17,1,1,2,2,2,1,1,1,1,1,1.3,0,0,0,1,1,1,1,0,1,0,0,5,5,13,-0.072678971
159,10.3,3,1,1,1,1,,grid algebra,0,3c,5c,3c,4a,3c,5c,10,16,10,11,10,16,1,1,1,0,28,25,1,1,1,2,1,1,1,1,1,1,1.1,0,1,1,0,0,1,1,0,1,1,0,6,6,16,0.457295312
160,9.5,3,1,1,1,1,,grid algebra,0,2c,3b,2b,3a,2a,4c,7,9,6,8,5,13,1,1,1,0,21,18,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,4,4,15,1.137836032
161,9.6,3,1,1,1,0,,grid algebra,0,2c,3b,2b,3c,2b,3a,7,9,6,10,6,8,1,1,1,0,18,12,1,3,1,2,4,1,1,4,1,3,2.1,1,1,0,0,0,1,1,0,0,0,0,4,4,11,-2.031053666
162,10.3,3,1,1,1,1,,grid algebra,0,2c,3b,2b,3b,2b,4c,7,9,6,9,6,13,1,1,1,0,26,14,1,1,1,1,1,1,1,1,1,2,1.1,1,1,1,1,0,1,0,0,0,0,0,5,5,12,1.24375885
163,10.3,3,1,1,1,1,,grid algebra,0,2b,3b,2b,3b,2b,3a,6,9,6,9,6,8,1,1,1,0,24,15,1,1,2,2,2,1,1,2,2,1,1.5,0,0,1,1,0,1,1,0,1,0,0,5,5,13,1.096087904
164,10.4,3,1,1,1,0,,grid algebra,0,2a,3b,2a,4c,2a,3a,5,9,5,13,5,8,1,1,1,0,17,16,1,1,2,3,2,1,1,4,2,2,1.9,1,1,1,1,1,1,1,0,1,0,0,8,8,16,-0.047927609
165,9.7,3,1,1,1,0,,grid algebra,0,3c,4c,2b,3b,3c,3a,10,13,6,9,10,8,1,1,1,0,19,23,1,1,1,1,2,1,1,1,1,1,1.1,1,1,1,1,1,1,1,0,1,0,0,8,8,12,0.691945546
166,9.9,3,1,1,1,1,,grid algebra,0,2a,4a,2a,4a,2a,4a,5,11,5,11,5,11,1,1,1,0,30,21,1,1,1,2,1,1,1,1,1,2,1.2,1,1,0,1,1,1,1,0,1,1,0,8,8,17,1.802291252
167,9.7,3,1,1,1,0,,grid algebra,0,2a,3a,2b,4c,2a,4c,5,8,6,13,5,13,1,1,1,0,16,11,2,2,5,5,1,5,1,5,5,1,3.2,0,0,0,0,0,1,1,0,0,0,0,2,2,12,0.514393126
168,9.9,3,1,1,1,1,,grid algebra,0,2a,4b,2a,3a,2a,4c,5,12,5,8,5,13,1,1,1,0,25,21,1,1,1,2,2,1,1,2,1,2,1.4,1,1,1,1,0,1,0,0,1,1,0,7,7,14,2.076666423
169,9.8,3,1,1,1,1,,grid algebra,0,2a,3a,2a,4c,3c,4b,5,8,5,13,10,12,1,1,1,0,24,20,1,1,1,1,2,1,1,1,1,1,1.1,0,1,1,1,0,1,0,0,0,1,0,5,5,16,1.04061079
170,10.3,3,1,1,1,1,,grid algebra,0,3c,4c,3c,4a,3c,5c,10,13,10,11,10,16,1,1,1,0,27,16,1,1,1,1,2,1,1,1,1,1,1.1,1,1,1,0,0,0,0,0,1,0,0,4,4,20,2.241610115
171,10.5,3,1,1,1,0,,grid algebra,0,3c,4a,3c,4b,3c,4a,10,11,10,12,10,11,1,1,1,0,24,23,1,1,1,1,2,1,1,1,1,1,1.1,1,1,1,0,0,1,1,0,1,0,0,6,6,12,0.680286257
172,10.0,3,1,1,1,1,,grid algebra,0,3c,3a,2a,3a,2a,3a,10,8,5,8,5,8,1,1,1,0,31,12,2,3,2,3,1,1,1,2,1,2,1.8,1,1,1,1,1,1,0,0,1,0,0,7,7,11,1.339214721
173,10.4,3,1,1,1,0,,grid algebra,0,2b,3a,1b,2b,1b,3b,6,8,3,6,3,9,1,1,1,0,21,11,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,4,4,10,-0.65859602
174,10.3,3,1,1,1,0,,grid algebra,0,3c,4b,3c,4b,3c,4c,10,12,10,12,10,13,1,1,1,0,17,17,1,1,1,2,1,1,1,1,1,1,1.1,1,1,1,1,1,1,1,0,1,0,0,8,8,13,1.174947845
175,9.8,3,1,1,1,1,,grid algebra,0,3c,4b,3c,4a,3c,4a,10,12,10,11,10,11,1,1,1,0,27,20,1,1,2,2,1,1,1,2,1,2,1.4,0,1,1,0,0,1,0,0,1,1,0,5,5,19,1.429153566
176,9.6,3,1,1,1,1,,grid algebra,0,2a,3a,2b,3a,3c,4b,5,8,6,8,10,12,1,1,1,0,29,23,1,2,1,3,4,3,2,2,4,4,2.6,0,1,1,1,1,1,1,0,1,0,0,7,7,13,1.509817273
177,9.5,3,1,1,1,1,,grid algebra,0,2a,3a,2a,4c,3c,4c,5,8,5,13,10,13,1,1,1,0,26,15,1,1,1,1,2,1,1,1,1,1,1.1,0,1,1,1,1,1,1,0,0,0,0,6,6,18,1.019757124
178,9.5,3,1,1,1,1,,grid algebra,0,2b,4c,2b,3b,2a,3b,6,13,6,9,5,9,1,1,1,0,23,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,5,5,16,0.745721603
179,9.9,3,1,1,1,0,,migen,1,3c,4b,3c,4c,3c,4b,10,12,10,13,10,12,1,1,1,0,28,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,7,7,18,0.881565849
180,10.4,3,1,1,1,0,,migen,1,2a,3a,1a,2b,2b,3a,5,8,2,6,6,8,1,1,1,0,28,16,1,2,1,1,2,1,1,1,1,1,1.2,1,1,0,0,0,1,1,0,0,0,0,4,4,9,-1.694840302
181,10.3,3,1,1,1,0,,migen,1,2a,4c,2a,3b,3c,3a,5,13,5,9,10,8,1,1,1,0,23,17,1,1,1,1,1,1,1,3,1,1,1.2,1,1,1,1,0,1,1,0,1,0,0,7,7,16,-0.38655126
182,10.3,3,1,1,1,1,,migen,1,2b,3b,2a,3a,3c,4b,6,9,5,8,10,12,1,1,1,0,27,15,1,1,1,1,2,1,1,1,1,1,1.1,1,1,1,0,0,1,1,0,0,0,0,5,5,16,0.137506641
183,9.7,3,1,1,1,0,,migen,1,3c,5c,2a,4c,3c,4b,10,16,5,13,10,12,1,1,1,0,29,25,1,1,2,1,2,1,1,2,1,1,1.3,1,1,1,0,0,1,1,0,1,0,0,6,6,11,-0.113672644
184,9.5,3,1,1,1,1,,migen,1,2a,3a,2b,3a,2a,3a,5,8,6,8,5,8,1,1,1,0,22,15,1,1,1,2,1,3,1,1,1,2,1.4,0,1,0,0,0,1,0,0,0,0,0,2,2,16,0.385552522
185,9.7,3,1,1,1,0,,migen,1,2a,3b,2b,3a,2a,4b,5,9,6,8,5,12,1,1,1,0,20,17,1,1,1,1,3,1,1,1,1,1,1.2,0,1,1,0,0,1,0,0,0,0,0,3,3,10,-0.473084978
186,10.2,3,1,1,1,0,,migen,1,2a,4c,2a,3a,2a,4b,5,13,5,8,5,12,1,1,1,0,25,19,1,2,1,3,1,1,1,1,1,1,1.3,1,1,0,1,0,1,0,0,1,0,0,5,5,16,1.337112449
187,9.7,3,1,1,1,0,,migen,1,2a,4c,2a,3a,2a,3a,5,13,5,8,5,8,1,1,1,0,22,14,3,1,1,2,4,1,1,2,5,2,2.2,1,1,0,1,0,1,0,0,0,0,0,4,4,13,0.5431993
188,10.1,3,1,1,1,0,,migen,1,3c,4b,2a,4b,3c,4b,10,12,5,12,10,12,1,1,1,0,24,14,1,1,2,1,1,1,1,1,1,1,1.1,0,0,1,0,0,1,1,0,1,0,0,4,4,19,-0.730419707
189,10.4,3,1,1,1,0,,migen,1,2a,4b,3c,4c,3c,4b,5,12,10,13,10,12,1,1,1,0,23,17,1,1,1,1,1,1,1,2,1,1,1.1,1,0,1,1,0,1,0,0,1,1,0,6,6,16,-0.33696346
190,10.4,3,1,1,1,0,,migen,1,3c,4a,3c,4b,3c,4a,10,11,10,12,10,11,1,1,1,0,28,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,8,8,14,0.420779864
191,9.5,3,1,1,1,1,,migen,1,2b,4c,2c,3b,2b,3a,6,13,7,9,6,8,1,1,1,0,27,16,1,1,1,1,2,1,1,1,1,1,1.1,1,0,0,0,0,0,1,0,1,0,0,3,3,12,-0.489377502
192,9.6,3,1,1,1,0,,migen,1,3c,4a,3c,4b,3c,4b,10,11,10,12,10,12,1,1,1,0,27,21,1,1,1,1,1,1,1,2,1,2,1.2,1,1,1,0,0,1,1,0,0,0,0,5,5,9,0.99567178
193,10.4,3,1,1,1,0,,migen,1,2a,4c,3c,4c,2a,4b,5,13,10,13,5,12,1,1,1,0,23,20,1,1,1,2,1,1,1,3,1,3,1.5,0,0,0,0,0,1,0,0,1,0,0,2,2,18,-0.998946121
194,10.3,3,1,1,1,1,,migen,1,3c,4c,3c,4b,3c,4b,10,13,10,12,10,12,1,1,1,0,24,15,1,3,2,3,4,1,1,1,1,1,1.8,0,1,0,0,0,1,1,0,0,0,0,3,3,19,0.307567416
195,9.6,3,1,1,1,1,,migen,1,2b,3a,2a,4c,3c,4b,6,8,5,13,10,12,1,1,1,0,26,18,1,1,2,1,1,1,1,1,1,1,1.1,0,1,1,0,0,1,1,0,0,0,0,4,4,18,0.376348918
196,9.8,3,1,1,1,1,,migen,1,3c,4a,3c,4c,2a,4b,10,11,10,13,5,12,1,1,1,0,31,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,6,6,16,0.137118305
197,9.8,3,1,1,1,1,,migen,1,2b,3a,2b,3b,2b,3a,6,8,6,9,6,8,1,1,1,0,26,10,1,2,2,1,1,2,1,1,1,1,1.3,1,0,1,0,0,1,1,0,1,0,0,5,5,9,-1.33648576
198,10.4,3,1,1,1,0,,migen,1,,3a,2c,3b,2c,3b,,8,7,9,7,9,1,1,1,0,27,19,2,3,3,4,5,2,2,3,2,4,3,1,1,0,0,0,1,1,0,0,0,0,4,4,11,-0.780012548
199,9.8,3,1,1,1,0,,migen,1,3c,4c,2a,3a,3c,4b,10,13,5,8,10,12,1,1,1,0,32,15,1,1,2,2,1,1,1,3,1,2,1.5,1,1,1,0,0,1,1,0,1,1,0,7,7,15,0.967734709
200,9.9,4,,,,1,5 KC,grid algebra,0,2a,3a,2b,3b,2a,4b,5,8,6,9,5,12,1,1,1,0,26,11,2,2,1,3,1,1,1,1,1,2,1.5,0,1,1,0,0,1,1,0,1,0,0,5,5,15,0.333059655
201,10.3,4,,,,0,5 KC,grid algebra,0,3c,4b,2a,4b,3c,5b,10,12,5,12,10,15,1,1,1,0,30,17,1,1,2,2,2,2,1,2,1,2,1.6,1,1,1,1,0,1,1,0,1,1,1,9,9,21,2.396490773
202,10.3,4,,,,1,5 KC,grid algebra,0,2a,3b,2a,3a,3c,4b,5,9,5,8,10,12,1,1,1,0,26,14,1,2,1,2,3,1,1,1,1,1,1.4,1,1,1,1,0,1,1,0,1,1,0,8,8,13,1.626215568
203,10.4,4,,,,0,5 KC,grid algebra,0,,3b,,4c,,4b,,9,,13,,12,1,1,1,0,22,10,1,1,1,1,1,1,1,2,1,1,1.1,1,1,0,0,0,1,1,0,1,0,0,5,5,14,-0.220863623
204,10.4,4,,,,1,5 KC,grid algebra,0,2a,3a,2b,3b,3c,4a,5,8,6,9,10,11,1,1,1,0,27,15,1,2,3,3,4,3,1,2,3,1,2.3,1,1,1,0,0,1,0,0,1,1,0,6,6,15,-0.348301061
205,9.6,4,,,,1,5 KC,grid algebra,0,2b,3c,2b,3b,2b,4a,6,10,6,9,6,11,1,1,1,0,28,15,1,2,1,3,4,2,1,1,1,2,1.8,0,1,1,1,0,1,1,0,1,1,0,7,7,16,-0.368599111
206,9.9,4,,,,0,5 KC,grid algebra,0,3c,4b,2a,4c,3c,5c,10,12,5,13,10,16,1,1,1,0,30,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,8,8,15,1.591551669
207,10.2,4,,,,0,5 KC,grid algebra,0,3c,4c,2a,4c,3c,4a,10,13,5,13,10,11,1,1,1,0,25,11,1,2,2,3,2,2,1,1,3,1,1.8,1,1,0,0,0,1,1,1,0,0,0,5,5,13,0.680242732
208,10.3,4,,,,1,5 KC,grid algebra,0,2c,3c,2c,3b,2a,3b,7,10,7,9,5,9,1,1,1,0,23,14,4,4,3,3,4,1,2,4,3,3,3.1,0,1,1,1,0,1,1,0,0,0,0,5,5,15,-0.834577787
209,9.8,4,,,,0,5/6 DD,grid algebra,0,2b,3a,2b,3a,2a,4c,6,8,6,8,5,13,1,1,1,0,28,12,1,1,1,2,1,3,1,5,2,1,1.8,1,1,1,0,0,1,0,0,1,0,0,5,5,12,-0.537761298
210,9.5,4,,,,1,5/6 DD,grid algebra,0,2a,3a,2b,3b,2a,4c,5,8,6,9,5,13,1,1,1,0,21,13,2,3,3,3,4,2,1,5,1,5,2.9,1,1,1,0,0,1,0,0,1,1,0,6,6,19,-0.068707711
211,9.6,4,,,,0,5/6 DD,grid algebra,0,2a,3a,2c,3c,2a,3a,5,8,7,10,5,8,1,1,1,0,27,17,1,1,1,2,2,1,1,3,1,3,1.6,1,1,1,0,0,1,1,0,1,1,0,7,7,12,-0.551191635
212,9.8,4,,,,1,5/6 DD,grid algebra,0,2b,3b,2c,3c,2a,3a,6,9,7,10,5,8,1,1,1,0,27,14,2,1,2,3,4,1,1,2,1,2,1.9,1,1,1,0,0,1,1,0,1,1,0,7,7,15,0.466589701
213,9.5,4,,,,0,5/6 DD,grid algebra,0,2b,3a,2c,3c,2c,3c,6,8,7,10,7,10,1,1,1,0,25,17,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,6,6,8,0.225869126
214,9.5,4,,,,0,5/6 DD,grid algebra,0,2b,4c,2c,3c,2c,3b,6,13,7,10,7,9,1,1,1,0,26,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,5,5,8,0.525604481
215,9.6,4,,,,0,5/6 DD,grid algebra,0,3c,4c,2b,3b,3c,4c,10,13,6,9,10,13,1,1,1,0,21,19,2,2,2,2,3,1,1,3,1,1,1.8,1,1,1,0,0,1,1,0,0,0,0,5,5,10,-0.854924936
216,9.6,4,,,,0,5/6 DD,grid algebra,0,2a,3a,2b,3a,2a,4c,5,8,6,8,5,13,1,1,1,0,23,18,1,1,1,2,2,1,1,1,1,5,1.6,1,1,1,0,0,1,1,0,1,1,0,7,7,16,-0.926697926
217,9.6,4,,,,0,5/6 DD,grid algebra,0,2b,3a,2c,3c,2b,3b,6,8,7,10,6,9,1,1,1,0,29,14,3,1,1,3,3,1,1,4,1,2,2,1,1,1,0,0,1,0,0,1,1,0,6,6,6,-0.543409201
218,9.9,4,,,,1,5 KC,migen,1,2a,3a,2a,4c,2a,5c,5,8,5,13,5,16,1,1,1,0,28,15,1,2,1,2,3,1,1,1,3,1,1.6,0,1,1,1,0,1,0,0,1,0,0,5,5,13,0.469042738
219,10.0,4,,,,0,5 KC,migen,1,3c,4b,2c,3a,2a,4a,10,12,7,8,5,11,1,1,1,0,29,16,1,2,1,2,3,1,1,1,1,1,1.4,1,1,1,1,0,1,1,0,1,0,0,7,7,13,-0.028544134
220,10.3,4,,,,1,5 KC,migen,1,,4a,,,,5b,,11,,,,15,1,1,1,0,32,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,5,5,16,1.004949446
221,10.0,4,,,,0,5 KC,migen,1,2a,3a,2c,3b,2a,4b,5,8,7,9,5,12,1,1,1,0,26,14,2,1,2,2,4,1,1,4,1,2,2,1,1,1,1,0,1,1,0,0,0,0,6,6,16,0.021363225
222,10.4,4,,,,0,5 KC,migen,1,2a,3a,2a,3a,2a,5b,5,8,5,8,5,15,1,1,1,0,22,15,1,1,2,2,2,2,1,4,1,4,2,1,1,1,0,0,1,1,0,1,0,0,6,6,14,-0.492802522
223,9.8,4,,,,0,5 KC,migen,1,3c,4a,2b,3a,2a,5c,10,11,6,8,5,16,1,1,1,0,30,21,1,2,2,2,2,2,1,2,1,2,1.7,1,1,1,1,0,1,1,0,1,1,0,8,8,12,0.721150977
224,9.8,4,,,,0,5 KC,migen,1,3c,4a,2a,4c,2a,4b,10,11,5,13,5,12,1,1,1,0,28,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,8,8,17,0.057603354
225,10.2,4,,,,0,5 KC,migen,1,2a,4c,2b,3a,3c,4b,5,13,6,8,10,12,1,1,1,0,22,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,8,8,17,0.116658611
226,10.4,4,,,,1,5 KC,migen,1,2c,3c,2b,3a,2b,,7,10,6,8,6,,1,1,1,0,18,11,1,2,1,1,2,1,1,2,1,2,1.4,1,1,0,0,0,0,0,0,0,0,0,2,2,14,-0.625712069
227,9.6,4,,,,0,5 KC,migen,1,3c,4c,2b,3a,2c,3a,10,13,6,8,7,8,1,1,1,0,27,17,1,1,1,1,2,1,1,1,2,1,1.2,0,0,1,0,0,1,1,0,1,1,0,5,5,14,-1.972471819
228,10.1,4,,,,0,5 KC,migen,1,2a,3a,2a,4c,2a,5c,5,8,5,13,5,16,1,1,1,0,26,15,1,1,1,1,2,1,1,1,1,1,1.1,1,1,1,1,0,1,1,0,1,0,0,7,7,15,-0.796032953
229,10.1,4,,,,0,5 KC,migen,1,2c,3c,2c,3a,2a,4b,7,10,7,8,5,12,1,1,1,0,21,11,1,1,2,2,3,1,1,3,2,1,1.7,1,1,1,0,0,1,1,0,0,0,0,5,5,11,0.0497205
230,10.1,4,,,,1,5 KC,migen,1,2a,3a,2b,3a,2b,4b,5,8,6,8,6,12,1,1,1,0,31,15,1,2,1,1,1,1,1,1,1,1,1.1,0,0,1,1,0,1,0,0,1,1,0,5,5,17,0.887331513
231,9.8,4,,,,1,5 KC,migen,1,2b,3b,2b,3b,2b,4b,6,9,6,9,6,12,1,1,1,0,30,10,1,1,2,2,1,1,1,2,1,2,1.4,0,1,1,0,0,1,0,0,1,0,0,4,4,19,0.539204363
232,9.9,4,,,,0,5 KC,migen,1,2a,3a,2b,3b,3c,5c,5,8,6,9,10,16,1,1,1,0,23,11,1,2,1,2,2,2,1,1,1,1,1.4,0,0,0,0,0,1,1,0,1,0,0,3,3,15,0.178884921
233,10.2,4,,,,0,5 KC,migen,1,2c,2a,1a,2a,2a,2c,7,5,2,5,5,7,1,1,1,0,22,10,2,3,1,1,1,1,1,1,1,2,1.4,0,0,1,0,0,0,0,0,0,0,0,1,1,11,-0.142872223
234,9.6,4,,,,0,5 KC,migen,1,2c,3b,2c,2a,2b,4b,7,9,7,5,6,12,1,1,1,0,28,8,3,5,2,2,4,1,1,3,2,2,2.5,1,1,1,0,0,0,1,0,1,1,0,6,6,14,-1.112118415
235,9.7,4,,,,1,5/6 DD,migen,1,3c,4c,3c,4b,3b,4a,10,13,10,12,9,11,1,1,1,0,24,22,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,6,6,19,1.694761876
236,9.6,4,,,,0,5/6 DD,migen,1,2a,3a,2a,3a,3c,4c,5,8,5,8,10,13,1,1,1,0,29,22,1,1,2,2,3,1,1,2,2,2,1.7,1,1,1,0,0,1,1,0,1,1,0,7,7,13,0.576017091
237,9.6,4,,,,1,5/6 DD,migen,1,2b,3b,2c,3c,2b,3a,6,9,7,10,6,8,1,1,1,0,19,13,1,2,1,3,2,1,1,2,1,3,1.7,0,0,1,1,0,1,1,0,1,1,0,6,6,13,-0.057856417
238,9.7,4,,,,0,5/6 DD,migen,1,2b,3b,2b,3b,2a,4c,6,9,6,9,5,13,1,1,1,0,25,6,1,2,3,3,2,1,1,3,1,3,2,0,0,1,1,0,0,1,0,1,0,0,4,4,8,1.521271433
239,9.8,4,,,,1,5/6 DD,migen,1,2a,3a,2a,3a,3c,4b,5,8,5,8,10,12,1,1,1,0,29,12,1,2,2,2,3,1,1,3,1,3,1.9,1,1,1,0,0,1,0,0,1,0,0,5,5,16,1.28779555
240,9.5,4,,,,0,5/6 DD,migen,1,2a,4c,2a,4c,3c,4c,5,13,5,13,10,13,1,1,1,0,27,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,7,7,13,1.237605529
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
