"","Candidate.Not.Chosen","Candidate.Chosen","Judge","group","theta1","raw1","theta2","raw2","probTheta"
"117",31,53,501,"expert1",1.29994957645827,0.6,-2.62920026433335,0.2,0.980718697822712
"118",31,48,709,"expert1",1.58453479440325,0.666666666666667,-2.62920026433335,0.2,0.985424565824319
"122",32,169,506,"expert1",2.55662015924852,0.727272727272727,0.506007506651074,0.470588235294118,0.886009509220082
"123",32,124,506,"expert1",3.18929992957722,0.842105263157895,0.506007506651074,0.470588235294118,0.936033539835233
"125",32,49,502,"expert1",2.01296937564684,0.714285714285714,0.506007506651074,0.470588235294118,0.818610519469191
"126",32,104,508,"expert1",3.38201984300314,0.818181818181818,0.506007506651074,0.470588235294118,0.946647822103931
"131",33,39,506,"expert1",3.96590017124897,0.923076923076923,1.30835066201667,0.583333333333333,0.934474778597536
"134",34,126,508,"expert1",0.495982382931924,0.333333333333333,-1.39573097680693,0.3,0.868950763342134
"135",34,113,508,"expert1",-0.194329941876278,0.583333333333333,-1.39573097680693,0.3,0.76877392605301
"136",34,141,713,"expert1",1.02798203209573,0.5,-1.39573097680693,0.3,0.918617757818099
"137",34,205,508,"expert1",0.723765140377807,0.7,-1.39573097680693,0.3,0.892783706911968
"138",34,37,709,"expert1",1.10676005030649,0.583333333333333,-1.39573097680693,0.3,0.924316265836658
"139",34,191,506,"expert1",0.710751851279031,0.642857142857143,-1.39573097680693,0.3,0.891531680442782
"142",35,6,506,"expert1",0.783172408661541,0.571428571428571,-0.438881238563768,0.454545454545455,0.772424751253538
"145",35,22,502,"expert1",1.16433160612391,0.625,-0.438881238563768,0.454545454545455,0.832466945614507
"148",36,159,702,"expert1",-4.2516733258175,0.222222222222222,-2.02176858835595,0.3,0.902903007746712
"149",36,192,506,"expert1",1.73418239534375,0.5,-2.02176858835595,0.3,0.97715584760035
"150",36,72,508,"expert1",4.49887814311029,0.928571428571429,-2.02176858835595,0.3,0.99852944936166
"151",36,122,502,"expert1",1.24982316962949,0.615384615384615,-2.02176858835595,0.3,0.963441278291499
"152",36,125,506,"expert1",2.11273080760509,0.666666666666667,-2.02176858835595,0.3,0.984241624149537
"153",37,78,508,"expert1",2.3529702552779,0.642857142857143,1.10676005030649,0.583333333333333,0.776643140145079
"155",37,176,704,"expert1",2.58237610034487,0.8125,1.10676005030649,0.583333333333333,0.813909497591677
"158",38,48,508,"expert1",1.58453479440325,0.666666666666667,-1.0304228486083,0.25,0.931818046173412
"159",38,142,506,"expert1",1.84477255763095,0.7,-1.0304228486083,0.25,0.946606547399914
"160",38,58,501,"expert1",0.489315992419984,0.583333333333333,-1.0304228486083,0.25,0.820500020387415
"161",38,46,508,"expert1",0.152833398463461,0.4375,-1.0304228486083,0.25,0.765532780456007
"162",38,76,508,"expert1",1.42989059371803,0.714285714285714,-1.0304228486083,0.25,0.921312389104834
"163",38,37,506,"expert1",1.10676005030649,0.583333333333333,-1.0304228486083,0.25,0.894464978872791
"164",38,191,501,"expert1",0.710751851279031,0.642857142857143,-1.0304228486083,0.25,0.850836212724583
"165",38,215,709,"expert1",2.39876818955769,0.789473684210526,-1.0304228486083,0.25,0.968604476671678
"166",38,123,508,"expert1",0.511922956351256,0.545454545454545,-1.0304228486083,0.25,0.823805477514529
"170",40,155,710,"expert1",3.31036923369203,0.823529411764706,1.48898884040287,0.5625,0.860731680857571
"171",40,96,710,"expert1",3.19501081725766,0.764705882352941,1.48898884040287,0.5625,0.846319604172255
"174",40,32,506,"expert1",0.506007506651074,0.470588235294118,1.48898884040287,0.5625,0.727699377419289
"175",41,223,506,"expert1",-2.57681225102753,0.461538461538462,0.00866803610048204,0.588235294117647,0.929921249458878
"176",41,24,508,"expert1",2.23298215173226,0.785714285714286,0.00866803610048204,0.588235294117647,0.902411777385223
"178",41,148,506,"expert1",-4.39238920495866,0.222222222222222,0.00866803610048204,0.588235294117647,0.987884225644636
"180",41,48,704,"expert1",1.58453479440325,0.666666666666667,0.00866803610048204,0.588235294117647,0.82861835341379
"181",41,27,713,"expert1",1.91006984735736,0.736842105263158,0.00866803610048204,0.588235294117647,0.870050100748458
"182",43,176,506,"expert1",2.58237610034487,0.8125,-0.39099249261194,0.333333333333333,0.951356403946893
"183",43,141,506,"expert1",1.02798203209573,0.5,-0.39099249261194,0.333333333333333,0.805177603895788
"184",43,182,502,"expert1",1.06535635528869,0.5,-0.39099249261194,0.333333333333333,0.810973605298521
"185",43,79,702,"expert1",-2.72084378169326,0.294117647058824,-0.39099249261194,0.333333333333333,0.91131931919666
"186",43,155,502,"expert1",3.31036923369203,0.823529411764706,-0.39099249261194,0.333333333333333,0.975905019535457
"188",43,181,508,"expert1",2.16812687791049,0.6875,-0.39099249261194,0.333333333333333,0.92818377829248
"189",43,39,506,"expert1",3.96590017124897,0.923076923076923,-0.39099249261194,0.333333333333333,0.987344069542502
"190",44,22,508,"expert1",1.16433160612391,0.625,-0.134475948755252,0.571428571428571,0.785634228079345
"194",44,69,702,"expert1",1.28924901517922,0.444444444444444,-0.134475948755252,0.571428571428571,0.805921709139414
"195",44,33,713,"expert1",1.30835066201667,0.583333333333333,-0.134475948755252,0.571428571428571,0.808891986711805
"197",45,108,502,"expert1",1.83867532243184,0.5,2.93118230347837,0.769230769230769,0.748853508461338
"199",46,69,704,"expert1",1.28924901517922,0.444444444444444,0.152833398463461,0.4375,0.757020934229033
"201",46,192,711,"expert1",1.73418239534375,0.5,0.152833398463461,0.4375,0.829395483995446
"203",46,137,508,"expert1",1.94263606870291,0.714285714285714,0.152833398463461,0.4375,0.856903081611189
"205",46,55,711,"expert1",1.85097755492979,0.733333333333333,0.152833398463461,0.4375,0.845292195624751
"206",46,137,502,"expert1",1.94263606870291,0.714285714285714,0.152833398463461,0.4375,0.856903081611189
"207",46,72,704,"expert1",4.49887814311029,0.928571428571429,0.152833398463461,0.4375,0.987207797481531
"208",47,49,711,"expert1",2.01296937564684,0.714285714285714,0.570525200766846,0.5,0.80883286059231
"209",47,155,501,"expert1",3.31036923369203,0.823529411764706,0.570525200766846,0.5,0.939337209850178
"211",47,56,708,"expert1",2.75313036478551,0.692307692307692,0.570525200766846,0.5,0.89867653707239
"215",47,24,501,"expert1",2.23298215173226,0.785714285714286,0.570525200766846,0.5,0.840567543844089
"218",48,131,711,"expert1",3.45170092380259,0.8,1.58453479440325,0.666666666666667,0.866130034370412
"219",48,77,713,"expert1",2.52619801498936,0.846153846153846,1.58453479440325,0.666666666666667,0.719435497763014
"224",49,182,508,"expert1",1.06535635528869,0.5,2.01296937564684,0.714285714285714,0.720634883864776
"226",50,73,711,"expert1",2.5206438877723,0.857142857142857,0.795292542612866,0.722222222222222,0.848816840021045
"227",50,113,508,"expert1",-0.194329941876278,0.583333333333333,0.795292542612866,0.722222222222222,0.729013349518886
"228",50,39,713,"expert1",3.96590017124897,0.923076923076923,0.795292542612866,0.722222222222222,0.959713084421571
"229",50,181,713,"expert1",2.16812687791049,0.6875,0.795292542612866,0.722222222222222,0.797837697118333
"230",50,35,506,"expert1",-0.438881238563768,0.454545454545455,0.795292542612866,0.722222222222222,0.774548248619335
"231",52,53,710,"expert1",1.29994957645827,0.6,0.293206011968977,0.5,0.73238237617817
"232",52,39,702,"expert1",3.96590017124897,0.923076923076923,0.293206011968977,0.5,0.975221641997063
"235",52,124,508,"expert1",3.18929992957722,0.842105263157895,0.293206011968977,0.5,0.947653007202876
"238",53,169,508,"expert1",2.55662015924852,0.727272727272727,1.29994957645827,0.6,0.778452434739018
"239",53,63,704,"expert1",2.87470756090103,0.846153846153846,1.29994957645827,0.6,0.82846083908622
"240",53,78,702,"expert1",2.3529702552779,0.642857142857143,1.29994957645827,0.6,0.74135453041824
"241",53,95,711,"expert1",-0.320629311423528,0.411764705882353,1.29994957645827,0.6,0.834874950050809
"242",53,195,708,"expert1",0.362944931618472,0.285714285714286,1.29994957645827,0.6,0.718494212742687
"244",53,72,501,"expert1",4.49887814311029,0.928571428571429,1.29994957645827,0.6,0.960793937356965
"248",55,45,704,"expert1",2.93118230347837,0.769230769230769,1.85097755492979,0.733333333333333,0.746532728144073
"251",56,39,502,"expert1",3.96590017124897,0.923076923076923,2.75313036478551,0.692307692307692,0.770788667433622
"254",57,109,506,"expert1",0.0972571495107217,0.473684210526316,-2.19355818617051,0.375,0.90811350706429
"256",57,218,506,"expert1",1.45233353763528,0.636363636363636,-2.19355818617051,0.375,0.974565661448261
"257",57,33,501,"expert1",1.30835066201667,0.583333333333333,-2.19355818617051,0.375,0.970742032980803
"258",57,225,709,"expert1",2.5322535646999,0.6,-2.19355818617051,0.375,0.991214355677187
"259",57,145,508,"expert1",0.379463969828648,0.5,-2.19355818617051,0.375,0.929105020287872
"260",57,148,702,"expert1",-4.39238920495866,0.222222222222222,-2.19355818617051,0.375,0.900144486855731
"261",57,221,502,"expert1",-1.11196109945688,0.333333333333333,-2.19355818617051,0.375,0.746796098172701
"264",58,78,508,"expert1",2.3529702552779,0.642857142857143,0.489315992419984,0.583333333333333,0.865722313838493
"265",58,142,506,"expert1",1.84477255763095,0.7,0.489315992419984,0.583333333333333,0.795020278185176
"266",58,25,506,"expert1",1.71149043319304,0.625,0.489315992419984,0.583333333333333,0.772445984218981
"269",63,140,709,"expert1",0.399755277037211,0.363636363636364,2.87470756090103,0.846153846153846,0.922367120749993
"270",63,3,506,"expert1",1.11418209309997,0.428571428571429,2.87470756090103,0.846153846153846,0.853275459114952
"272",64,56,508,"expert1",2.75313036478551,0.692307692307692,0.742463813512538,0.538461538461538,0.881912456429951
"275",64,63,502,"expert1",2.87470756090103,0.846153846153846,0.742463813512538,0.538461538461538,0.893997826693778
"278",65,116,704,"expert1",0.998477337469721,0.5,0.125614492735402,0.470588235294118,0.705341047064168
"279",65,226,508,"expert1",1.06048833453222,0.5,0.125614492735402,0.470588235294118,0.718063035345407
"281",65,163,708,"expert1",-1.78915704318384,0.25,0.125614492735402,0.470588235294118,0.871554256728587
"282",65,122,713,"expert1",1.24982316962949,0.615384615384615,0.125614492735402,0.470588235294118,0.754768548040658
"283",65,209,508,"expert1",-1.21814550583881,0.272727272727273,0.125614492735402,0.470588235294118,0.793107591834361
"284",65,155,702,"expert1",3.31036923369203,0.823529411764706,0.125614492735402,0.470588235294118,0.960256523295254
"286",69,86,502,"expert1",4.9055742284104,0.944444444444444,1.28924901517922,0.444444444444444,0.973822408930571
"287",69,73,508,"expert1",2.5206438877723,0.857142857142857,1.28924901517922,0.444444444444444,0.774062616347565
"288",69,181,501,"expert1",2.16812687791049,0.6875,1.28924901517922,0.444444444444444,0.706589632726468
"289",69,215,508,"expert1",2.39876818955769,0.789473684210526,1.28924901517922,0.444444444444444,0.752039459814084
"291",69,152,704,"expert1",2.6605846434556,0.65,1.28924901517922,0.444444444444444,0.797595858702615
"292",69,97,713,"expert1",2.76831310809036,0.733333333333333,1.28924901517922,0.444444444444444,0.8144311758503
"293",69,170,506,"expert1",2.15319375779965,0.625,1.28924901517922,0.444444444444444,0.703484164712821
