School,Judge,Candidate.Chosen,Candidate.Not.Chosen
5403,409,106,1010
5403,409,106,92
5403,409,88,92
5403,409,102,88
5403,409,103,102
5403,409,103,84
5403,409,83,84
5403,409,83,82
5403,409,82,86
5403,409,81,91
5403,409,86,91
5403,409,102,86
5403,409,109,102
5403,409,810,109
5403,409,82,810
5403,409,82,95
5403,409,95,84
5403,409,107,84
5403,409,107,89
5403,409,89,92
5403,409,106,92
5403,409,106,101
5403,409,104,101
5403,409,104,83
5403,409,83,85
5403,409,85,93
5403,409,105,93
5403,409,103,105
5403,409,103,88
5403,409,88,94
5403,409,1010,94
5403,409,87,1010
5403,419,81,85
5403,419,81,84
5403,419,107,84
5403,419,104,107
5403,419,104,95
5403,419,101,95
5403,419,101,810
5403,419,810,102
5403,419,87,102
5403,419,87,93
5403,419,103,93
5403,419,103,91
5403,419,83,91
5403,419,88,83
5403,419,88,105
5403,419,105,1010
5403,419,1010,86
5403,419,86,94
5403,419,106,94
5403,419,106,82
5403,419,82,92
5403,419,109,92
5403,419,109,89
5403,401,83,84
5403,401,810,84
5403,401,101,810
5403,401,101,102
5403,401,105,102
5403,401,105,89
5403,401,92,89
5403,401,92,94
5403,401,88,94
5403,401,88,93
5403,401,107,93
5403,401,107,106
5403,401,106,87
5403,401,81,87
5403,401,81,1010
5403,401,1010,85
5403,401,104,85
5403,401,86,104
5403,401,109,86
5403,401,103,109
5403,401,103,91
5403,401,82,91
5403,401,82,95
5403,400,87,81
5403,400,87,93
5403,400,85,93
5403,400,85,95
5403,400,102,95
5403,400,102,94
5403,400,83,94
5403,400,107,83
5403,400,107,88
5403,400,88,89
5403,400,82,89
5403,400,82,84
5403,400,104,84
5403,400,104,86
5403,400,86,101
5403,400,105,101
5403,400,105,91
5403,400,91,109
5403,400,103,109
5403,400,1010,103
5403,400,810,1010
5403,400,92,810
5403,400,92,106
5403,413,89,92
5403,413,89,85
5403,413,104,85
5403,413,104,106
5403,413,106,84
5403,413,810,84
5403,413,102,810
5403,413,87,102
5403,413,87,82
5403,413,101,82
5403,413,101,83
5403,413,83,95
5403,413,107,95
5403,413,107,94
5403,413,94,93
5403,413,103,93
5403,413,103,88
5403,413,88,81
5403,413,105,81
5403,413,105,1010
5403,413,1010,86
5403,413,86,109
5403,413,91,109
5403,422,92,810
5403,422,1010,92
5403,422,1010,87
5403,422,87,94
5403,422,94,95
5403,422,95,88
5403,422,109,88
5403,422,107,109
5403,422,107,101
5403,422,101,105
5403,422,105,93
5403,422,106,93
5403,422,83,106
5403,422,83,102
5403,422,102,86
5403,422,86,104
5403,422,81,104
5403,422,81,85
5403,422,103,85
5403,422,103,84
5403,422,91,84
5403,422,91,89
5403,422,82,89
5403,408,103,104
5403,408,104,84
5403,408,84,92
5403,408,85,92
5403,408,85,89
5403,408,107,89
5403,408,107,1010
5403,408,87,1010
5403,408,87,93
5403,408,101,95
5403,408,101,106
5403,408,95,91
5403,408,109,91
5403,408,109,102
5403,408,86,81
5403,408,105,86
5403,408,88,105
5403,408,82,88
5403,408,94,82
5403,408,83,94
5403,404,103,89
5403,404,85,89
5403,404,85,86
5403,404,86,81
5403,404,1010,81
5403,404,1010,91
5403,404,810,93
5403,404,91,810
5403,404,93,87
5403,404,87,104
5403,404,104,83
5403,404,83,101
5403,404,101,94
5403,404,82,94
5403,404,92,82
5403,404,92,106
5403,404,106,84
5403,404,87,810
5403,404,105,810
5403,404,83,105
5403,404,82,83
5403,404,82,1010
5403,404,1010,94
5403,404,92,94
5403,404,92,88
5403,404,88,101
5403,404,101,103
5403,404,81,103
5403,404,93,81
5403,404,106,93
5403,404,106,104
5403,404,104,85
5403,404,85,109
5403,404,109,107
5403,404,107,91
5403,404,91,102
5403,404,102,95
5403,404,95,86
5403,404,86,89
5403,404,89,84
5403,412,83,87
5403,412,1010,87
5403,412,102,1010
5403,412,102,93
5403,412,93,94
5403,412,88,94
5403,412,88,106
5403,412,104,106
5403,412,104,86
5403,412,95,91
5403,412,105,91
5403,412,105,92
5403,412,107,92
5403,412,107,89
5403,412,103,89
5403,412,85,103
5403,412,85,82
5403,412,82,101
5403,412,810,81
5403,412,81,84
5403,412,84,109
5403,412,101,810
5403,414,81,82
5403,414,82,91
5403,414,105,91
5403,414,1010,105
