Judge,Candidate.Chosen,Candidate.Not.Chosen,Session
4,4,7,GCSE030211data
4,5,6,GCSE030211data
6,4,18,GCSE030211data
6,8,14,GCSE030211data
6,14,16,GCSE030211data
6,6,5,GCSE030211data
6,2,17,GCSE030211data
6,10,12,GCSE030211data
6,12,11,GCSE030211data
6,11,13,GCSE030211data
6,9,14,GCSE030211data
3,14,18,GCSE030211data
3,11,6,GCSE030211data
3,5,12,GCSE030211data
3,1,2,GCSE030211data
3,3,10,GCSE030211data
3,16,17,GCSE030211data
1,4,18,GCSE030211data
1,6,5,GCSE030211data
1,5,2,GCSE030211data
1,2,13,GCSE030211data
1,7,10,GCSE030211data
1,1,17,GCSE030211data
8,12,15,GCSE030211data
8,11,16,GCSE030211data
8,5,13,GCSE030211data
5,1,2,GCSE030211data
5,4,3,GCSE030211data
5,3,9,GCSE030211data
5,9,7,GCSE030211data
5,7,18,GCSE030211data
5,15,13,GCSE030211data
5,4,8,GCSE030211data
5,14,16,GCSE030211data
5,5,2,GCSE030211data
5,15,17,GCSE030211data
5,3,7,GCSE030211data
7,9,14,GCSE030211data
7,6,5,GCSE030211data
7,3,10,GCSE030211data
7,10,18,GCSE030211data
7,1,15,GCSE030211data
7,16,17,GCSE030211data
11,5,13,GCSE030211data
11,13,10,GCSE030211data
11,10,8,GCSE030211data
11,14,11,GCSE030211data
9,4,18,GCSE030211data
9,18,15,GCSE030211data
9,3,9,GCSE030211data
9,9,14,GCSE030211data
9,14,11,GCSE030211data
9,8,10,GCSE030211data
9,10,18,GCSE030211data
9,6,15,GCSE030211data
13,11,18,GCSE070211data
13,5,11,GCSE070211data
13,12,16,GCSE070211data
13,3,12,GCSE070211data
13,7,17,GCSE070211data
13,2,17,GCSE070211data
13,3,18,GCSE070211data
14,6,8,GCSE070211data
14,1,12,GCSE070211data
14,9,14,GCSE070211data
14,4,15,GCSE070211data
14,4,16,GCSE070211data
14,10,8,GCSE070211data
14,6,11,GCSE070211data
14,10,17,GCSE070211data
14,12,7,GCSE070211data
15,4,17,GCSE070211data
15,2,4,GCSE070211data
15,8,10,GCSE070211data
15,5,8,GCSE070211data
15,6,5,GCSE070211data
15,3,14,GCSE070211data
15,16,18,GCSE070211data
16,5,4,GCSE070211data
16,2,15,GCSE070211data
16,1,2,GCSE070211data
16,8,10,GCSE070211data
16,2,14,GCSE070211data
16,3,2,GCSE070211data
17,2,4,GCSE070211data
17,8,11,GCSE070211data
17,6,8,GCSE070211data
17,14,9,GCSE070211data
17,15,16,GCSE070211data
17,5,15,GCSE070211data
17,2,5,GCSE070211data
17,13,17,GCSE070211data
17,1,13,GCSE070211data
17,8,11,GCSE070211data
18,15,7,GCSE070211data
18,8,15,GCSE070211data
18,12,8,GCSE070211data
18,6,11,GCSE070211data
18,9,14,GCSE070211data
19,3,4,GCSE070211data
19,2,3,GCSE070211data
19,6,5,GCSE070211data
19,9,18,GCSE070211data
20,5,9,GCSE070211data
20,4,5,GCSE070211data
20,2,4,GCSE070211data
20,8,10,GCSE070211data
20,1,12,GCSE070211data
20,2,5,GCSE070211data
20,7,15,GCSE070211data
21,5,14,GCSE070211data
21,3,5,GCSE070211data
21,2,3,GCSE070211data
21,1,2,GCSE070211data
21,8,15,GCSE070211data
21,6,5,GCSE070211data
21,13,17,GCSE070211data
21,8,18,GCSE070211data
22,11,18,GCSE070211data
22,6,11,GCSE070211data
22,12,16,GCSE070211data
22,3,12,GCSE070211data
22,1,6,GCSE070211data
22,14,11,GCSE070211data
22,2,5,GCSE070211data
22,4,13,GCSE070211data
23,13,17,GCSE070211data
23,15,13,GCSE070211data
13,5,9,GCSE070211data
13,9,16,GCSE070211data
13,3,4,GCSE070211data
13,4,8,GCSE070211data
13,8,17,GCSE070211data
13,7,10,GCSE070211data
13,10,13,GCSE070211data
13,6,12,GCSE070211data
13,15,14,GCSE070211data
13,9,16,GCSE070211data
14,7,8,GCSE070211data
14,6,12,GCSE070211data
14,1,14,GCSE070211data
14,9,15,GCSE070211data
14,4,18,GCSE070211data
14,18,17,GCSE070211data
14,12,13,GCSE070211data
14,5,1,GCSE070211data
15,2,1,GCSE070211data
15,1,7,GCSE070211data
15,7,10,GCSE070211data
15,6,9,GCSE070211data
15,9,12,GCSE070211data
15,12,14,GCSE070211data
15,3,18,GCSE070211data
15,16,7,GCSE070211data
15,6,1,GCSE070211data
15,15,14,GCSE070211data
16,5,15,GCSE070211data
16,1,10,GCSE070211data
16,8,14,GCSE070211data
