individual	School	age_at_testing	school_recoded	activity_book	post_test	full_data	gender	gender_recode	class	group	group_recode	SAT1_Maths	Y4_maths	SAT1_write	Y4_write	SAT1_read	Y4_read	SAT1_Maths_recoded	current_maths_recoded	SAT1_write_recoded	current_write_recoded	SAT1_read_recoded	current_read_recoded	lesson_1	lesson_2	lesson_3	exclude	Ravens_A_C	Numerical_op	Anxiety_1	Anxiety_2	Anxiety_3	Anxiety_4	Anxiety_5	Anxiety_6	Anxiety_7	Anxiety_8	Anxiety_9	Anxiety_10	Anxiety_total	algebra_1a	algebra_1b	algebra_2a	algebra_2b	algebra_2c	algebra_3	algebra_4	algebra_5	algebra_6	algebra_7	algebra_8	algebra_1a	algebra_1b_corr	algebra_2a_corr	algebra_2b_corr	algebra_2c_corr	algebra_3_corr	algebra_4_corr	algebra_5_corr	algebra_6_corr	algebra_7_corr	algebra_8_corr	algebra_total	algebra_score	Written_expression	CJ_estimate
201	Rothley	10.28	4				m	0	5 KC	grid algebra	0	3c	4b	2a	4b	3c	5b	10	12	5	12	10	15	1	1	1	0	30	17	1	1	2	2	2	2	1	2	1	2	1.6	n-7	n+4	12	n+9	7n	45	761	12	a=3	u=4	m=13	1	1	1	1	0	1	1	0	1	1	1	9	9	21	2.396490773
202	Rothley	10.27	4				f	1	5 KC	grid algebra	0	2a	3b	2a	3a	3c	4b	5	9	5	8	10	12	1	1	1	0	26	14	1	2	1	2	3	1	1	1	1	1	1.4	n-7	n+4	12	n+5+4	7n	45	761	12	a=3	u=4	m=5	1	1	1	1	0	1	1	0	1	1	0	8	8	13	1.626215568
203	Rothley	10.43	4				m	0	5 KC	grid algebra	0		3b	999	4c	999	4b	999	9	999	13	999	12	1	1	1	0	22	10	1	1	1	1	1	1	1	2	1	1	1.1	n-7	n+4	n+8	5n	n+3	45	761	17	a=3	u=2	m=3	1	1	0	0	0	1	1	0	1	0	0	5	5	14	-0.220863623
204	Rothley	10.38	4				f	1	5 KC	grid algebra	0	2a	3a	2b	3b	3c	4a	5	8	6	9	10	11	1	1	1	0	27	15	1	2	3	3	4	3	1	2	3	1	2.3	n-7	n+4	12	19	44	45	763	9	a=3	u=4	m=35	1	1	1	0	0	1	0	0	1	1	0	6	6	15	-0.348301061
205	Rothley	9.6	4				f	1	5 KC	grid algebra	0	2b	3c	2b	3b	2b	4a	6	10	6	9	6	11	1	1	1	0	28	15	1	2	1	3	4	2	1	1	1	2	1.8	n	n+4	12	n+9	7n	45	761	9	a=3	u=4	m=34	0	1	1	1	0	1	1	0	1	1	0	7	7	16	-0.368599111
206	Rothley	9.88	4				m	0	5 KC	grid algebra	0	3c	4b	2a	4c	3c	5c	10	12	5	13	10	16	1	1	1	0	30	15	1	1	1	1	1	1	1	1	1	1	1	n-7	n+4	12	n+9	7n	45	761	12	a=3	u=4	m=8n	1	1	1	1	0	1	1	0	1	1	0	8	8	15	1.591551669
207	Rothley	10.23	4				m	0	5 KC	grid algebra	0	3c	4c	2a	4c	3c	4a	10	13	5	13	10	11	1	1	1	0	25	11	1	2	2	3	2	2	1	1	3	1	1.8	n-7	n+4	999	999	999	45	761	8+g	a=2	they have a 2 difference	3+1=4 n=0	1	1	0	0	0	1	1	1	0	0	0	5	5	13	0.680242732
208	Rothley	10.28	4				f	1	5 KC	grid algebra	0	2c	3c	2c	3b	2a	3b	7	10	7	9	5	9	1	1	1	0	23	14	4	4	3	3	4	1	2	4	3	3	3.1	n	n+4	12	n+5+4	7n	45	761	12	5+a=8	1+3=	34+1=	0	1	1	1	0	1	1	0	0	0	0	5	5	15	-0.834577787
209	Rothley	9.79	4				m	0	5/6 DD	grid algebra	0	2b	3a	2b	3a	2a	4c	6	8	6	8	5	13	1	1	1	0	28	12	1	1	1	2	1	3	1	5	2	1	1.8	n-7	n+4	12	10	7n	45	763	9	a=3	999	999	1	1	1	0	0	1	0	0	1	0	0	5	5	12	-0.537761298
210	Rothley	9.46	4				f	1	5/6 DD	grid algebra	0	2a	3a	2b	3b	2a	4c	5	8	6	9	5	13	1	1	1	0	21	13	2	3	3	3	4	2	1	5	1	5	2.9	n-7	n+4	12	19	30	45	763	12	a=3	u=4	m=5	1	1	1	0	0	1	0	0	1	1	0	6	6	19	-0.068707711
211	Rothley	9.61	4				m	0	5/6 DD	grid algebra	0	2a	3a	2c	3c	2a	3a	5	8	7	10	5	8	1	1	1	0	27	17	1	1	1	2	2	1	1	3	1	3	1.6	n-7	n+4	12	n+5	41	45	761	12	a=3	u=4	m=35	1	1	1	0	0	1	1	0	1	1	0	7	7	12	-0.551191635
212	Rothley	9.78	4				f	1	5/6 DD	grid algebra	0	2b	3b	2c	3c	2a	3a	6	9	7	10	5	8	1	1	1	0	27	14	2	1	2	3	4	1	1	2	1	2	1.9	n-7	n+4	12	8	7	45	761	999	a=3	u=4	m=4	1	1	1	0	0	1	1	0	1	1	0	7	7	15	0.466589701
213	Rothley	9.52	4				m	0	5/6 DD	grid algebra	0	2b	3a	2c	3c	2c	3c	6	8	7	10	7	10	1	1	1	0	25	17	1	1	1	1	1	1	1	1	1	1	1	n-3	n+4	12	n+9	7n	45	761	109	a=3	u=2	m=8n	0	1	1	1	0	1	1	0	1	0	0	6	6	8	0.225869126
214	Rothley	9.52	4				m	0	5/6 DD	grid algebra	0	2b	4c	2c	3c	2c	3b	6	13	7	10	7	9	1	1	1	0	26	19	1	1	1	1	1	1	1	1	1	1	1	n-7	n+4	12	18	43	45	763	15	a=5	u=4	m=35	1	1	1	0	0	1	0	0	0	1	0	5	5	8	0.525604481
215	Rothley	9.56	4				m	0	5/6 DD	grid algebra	0	3c	4c	2b	3b	3c	4c	10	13	6	9	10	13	1	1	1	0	21	19	2	2	2	2	3	1	1	3	1	1	1.8	n-7	n+4	12	23	999	45	761	12	that is wrong	999	999	1	1	1	0	0	1	1	0	0	0	0	5	5	10	-0.854924936
216	Rothley	9.64	4				m	0	5/6 DD	grid algebra	0	2a	3a	2b	3a	2a	4c	5	8	6	8	5	13	1	1	1	0	23	18	1	1	1	2	2	1	1	1	1	5	1.6	n-7	n+4	12	19	7	45	761	12	a=3	u=4	3n=7	1	1	1	0	0	1	1	0	1	1	0	7	7	16	-0.926697926
217	Rothley	9.55	4				m	0	5/6 DD	grid algebra	0	2b	3a	2c	3c	2b	3b	6	8	7	10	6	9	1	1	1	0	29	14	3	1	1	3	3	1	1	4	1	2	2	n-7	n+4	12	10	7n	45	762	9	a=3	u=4	m=35	1	1	1	0	0	1	0	0	1	1	0	6	6	6	-0.543409201
218	Rothley	9.94	4				f	1	5 KC	migen	1	2a	3a	2a	4c	2a	5c	5	8	5	13	5	16	1	1	1	0	28	15	1	2	1	2	3	1	1	1	3	1	1.6	n-7 n-3 n n+1	n+4	12	n+9	7n	45	999	12	a=3	999	999	0	1	1	1	0	1	0	0	1	0	0	5	5	13	0.469042738
219	Rothley	10.01	4				m	0	5 KC	migen	1	3c	4b	2c	3a	2a	4a	10	12	7	8	5	11	1	1	1	0	29	16	1	2	1	2	3	1	1	1	1	1	1.4	n-7	n+4	12	n+9	999	45	761	12	a=3	u=v+3	m=3n+1	1	1	1	1	0	1	1	0	1	0	0	7	7	13	-0.028544134
220	Rothley	10.31	4				f	1	5 KC	migen	1	999	4a	999	999	999	5b	999	11	999	999	999	15	1	1	1	0	32	17	1	1	1	1	1	1	1	1	1	1	1	n-7	n+4	12	24	7n	45	741	12	999	u=4	m=8	1	1	1	0	0	1	0	0	0	1	0	5	5	16	1.004949446
221	Rothley	10.05	4				m	0	5 KC	migen	1	2a	3a	2c	3b	2a	4b	5	8	7	9	5	12	1	1	1	0	26	14	2	1	2	2	4	1	1	4	1	2	2	n-7	n+4	12	n+9	7n	45	761	999	999	999	999	1	1	1	1	0	1	1	0	0	0	0	6	6	16	0.021363225
222	Rothley	10.4	4				m	0	5 KC	migen	1	2a	3a	2a	3a	2a	5b	5	8	5	8	5	15	1	1	1	0	22	15	1	1	2	2	2	2	1	4	1	4	2	n-7	n+4	12	11	8	45	761	16	a=3	u=2	m=4	1	1	1	0	0	1	1	0	1	0	0	6	6	14	-0.492802522
223	Rothley	9.85	4				m	0	5 KC	migen	1	3c	4a	2b	3a	2a	5c	10	11	6	8	5	16	1	1	1	0	30	21	1	2	2	2	2	2	1	2	1	2	1.7	n-7	n+4	12	n+9	7n	45	761	8g	a=3	u=4	m=8	1	1	1	1	0	1	1	0	1	1	0	8	8	12	0.721150977
224	Rothley	9.85	4				m	0	5 KC	migen	1	3c	4a	2a	4c	2a	4b	10	11	5	13	5	12	1	1	1	0	28	20	1	1	1	1	1	1	1	1	1	1	1	n-7	n+4	12	9n	7n	45	761	12	a=3	u=4	m=13	1	1	1	0	0	1	1	0	1	1	1	8	8	17	0.057603354
225	Rothley	10.16	4				m	0	5 KC	migen	1	2a	4c	2b	3a	3c	4b	5	13	6	8	10	12	1	1	1	0	22	14	1	1	1	1	1	1	1	1	1	1	1	n-7	n+4	12	n+9	7n	45	761	999	a=3	u=4	m=8	1	1	1	1	0	1	1	0	1	1	0	8	8	17	0.116658611
226	Rothley	10.43	4				f	1	5 KC	migen	1	2c	3c	2b	3a	2b	999	7	10	6	8	6	999	1	1	1	0	18	11	1	2	1	1	2	1	1	2	1	2	1.4	n-7	n+4	999	999	999	46	219	14	999	999	999	1	1	0	0	0	0	0	0	0	0	0	2	2	14	-0.625712069
227	Rothley	9.61	4				m	0	5 KC	migen	1	3c	4c	2b	3a	2c	3a	10	13	6	8	7	8	1	1	1	0	27	17	1	1	1	1	2	1	1	1	2	1	1.2	n+4	n-7	12	9	4	45	761	16	a=3	u=4	m=5	0	0	1	0	0	1	1	0	1	1	0	5	5	14	-1.972471819
228	Rothley	10.13	4				m	0	5 KC	migen	1	2a	3a	2a	4c	2a	5c	5	8	5	13	5	16	1	1	1	0	26	15	1	1	1	1	2	1	1	1	1	1	1.1	n-7	n+4	12	n+9	7n	45	761	9	a=3	v=4	m=8	1	1	1	1	0	1	1	0	1	0	0	7	7	15	-0.796032953
229	Rothley	10.05	4				m	0	5 KC	migen	1	2c	3c	2c	3a	2a	4b	7	10	7	8	5	12	1	1	1	0	21	11	1	1	2	2	3	1	1	3	2	1	1.7	n-7	n+4	12	n9	7n	45	761	999	a=2	999	999	1	1	1	0	0	1	1	0	0	0	0	5	5	11	0.0497205
230	Rothley	10.08	4				f	1	5 KC	migen	1	2a	3a	2b	3a	2b	4b	5	8	6	8	6	12	1	1	1	0	31	15	1	2	1	1	1	1	1	1	1	1	1.1	n+1	n-7	12	n+9	8n	45	763	12	a=3	u=4	m=5	0	0	1	1	0	1	0	0	1	1	0	5	5	17	0.887331513
231	Rothley	9.82	4				f	1	5 KC	migen	1	2b	3b	2b	3b	2b	4b	6	9	6	9	6	12	1	1	1	0	30	10	1	1	2	2	1	1	1	2	1	2	1.4	n-3	n+4	8+4	n+4	3+n	45	762	12	a=3	999	999	0	1	1	0	0	1	0	0	1	0	0	4	4	19	0.539204363
232	Rothley	9.92	4				m	0	5 KC	migen	1	2a	3a	2b	3b	3c	5c	5	8	6	9	10	16	1	1	1	0	23	11	1	2	1	2	2	2	1	1	1	1	1.4	n-7 n-3	n n+1 n+4	n	n+4	3n	45	761	10	a=3	v=1	n=4	0	0	0	0	0	1	1	0	1	0	0	3	3	15	0.178884921
233	Rothley	10.25	4				m	0	5 KC	migen	1	2c	2a	1a	2a	2a	2c	7	5	2	5	5	7	1	1	1	0	22	10	2	3	1	1	1	1	1	1	1	2	1.4	n+1	n	12	23	11	5	999	20	999	999	999	0	0	1	0	0	0	0	0	0	0	0	1	1	11	-0.142872223
234	Rothley	9.59	4				m	0	5 KC	migen	1	2c	3b	2c	2a	2b	4b	7	9	7	5	6	12	1	1	1	0	28	8	3	5	2	2	4	1	1	3	2	2	2.5	n-7	n+4	12	9	7n	43	761	12	a=3	u=4	m=8	1	1	1	0	0	0	1	0	1	1	0	6	6	14	-1.112118415
235	Rothley	9.69	4				f	1	5/6 DD	migen	1	3c	4c	3c	4b	3b	4a	10	13	10	12	9	11	1	1	1	0	24	22	1	1	1	1	1	1	1	1	1	1	1	n-3	n+4	12	9	34	45	761	15	a=3	u=4	999	0	1	1	0	0	1	1	0	1	1	0	6	6	19	1.694761876
236	Rothley	9.62	4				m	0	5/6 DD	migen	1	2a	3a	2a	3a	3c	4c	5	8	5	8	10	13	1	1	1	0	29	22	1	1	2	2	3	1	1	2	2	2	1.7	n-7	n+4	12	9	34	45	761	18	a=3	u=4	m=35	1	1	1	0	0	1	1	0	1	1	0	7	7	13	0.576017091
237	Rothley	9.57	4				f	1	5/6 DD	migen	1	2b	3b	2c	3c	2b	3a	6	9	7	10	6	8	1	1	1	0	19	13	1	2	1	3	2	1	1	2	1	3	1.7	n+1	n	12	n+9	7n	45	761	12	a=3	u=4	5+1	0	0	1	1	0	1	1	0	1	1	0	6	6	13	-0.057856417
238	Rothley	9.7	4				m	0	5/6 DD	migen	1	2b	3b	2b	3b	2a	4c	6	9	6	9	5	13	1	1	1	0	25	6	1	2	3	3	2	1	1	3	1	3	2	n+4	n-7	12	n+9	7n	46	761	10	a=3	u=2	m=4n	0	0	1	1	0	0	1	0	1	0	0	4	4	8	1.521271433
239	Rothley	9.75	4				f	1	5/6 DD	migen	1	2a	3a	2a	3a	3c	4b	5	8	5	8	10	12	1	1	1	0	29	12	1	2	2	2	3	1	1	3	1	3	1.9	n-7	n+4	12	10	39	45	763	9	a=3	u=0	m=35	1	1	1	0	0	1	0	0	1	0	0	5	5	16	1.28779555
240	Rothley	9.52	4				m	0	5/6 DD	migen	1	2a	4c	2a	4c	3c	4c	5	13	5	13	10	13	1	1	1	0	27	22	1	1	1	1	1	1	1	1	1	1	1	n-7	n+4	12	13	15	45	761	12	a=3	u=4	m=35	1	1	1	0	0	1	1	0	1	1	0	7	7	13	1.237605529
