individual	School	age_at_testing	school_recoded	activity_book	post_test	full_data	gender	gender_recode	class	group	group_recode	SAT1_Maths	Y4_maths	SAT1_write	Y4_write	SAT1_read	Y4_read	SAT1_Maths_recoded	current_maths_recoded	SAT1_write_recoded	current_write_recoded	SAT1_read_recoded	current_read_recoded	lesson_1	lesson_2	lesson_3	exclude	Ravens_A_C	Numerical_op	Anxiety_1	Anxiety_2	Anxiety_3	Anxiety_4	Anxiety_5	Anxiety_6	Anxiety_7	Anxiety_8	Anxiety_9	Anxiety_10	Anxiety_total	algebra_1a	algebra_1b	algebra_2a	algebra_2b	algebra_2c	algebra_3	algebra_4	algebra_5	algebra_6	algebra_7	algebra_8	algebra_1a	algebra_1b_corr	algebra_2a_corr	algebra_2b_corr	algebra_2c_corr	algebra_3_corr	algebra_4_corr	algebra_5_corr	algebra_6_corr	algebra_7_corr	algebra_8_corr	algebra_total	algebra_score	Written_expression	CJ_estimate
74	barwell	8.93	1	1	1	1	m	0	5D	migen	1	3b	4c	2b	3b	2a	4c	9	13	6	9	5	13	1	1	1	0	30	14	1	1	1	2	3	1	1	2	1	1	1.4	n-7	n+4	12	n+9	7n	45	761	g8	999	999	999	1	1	1	1	0	1	1	0	0	0	0	6	6	8	-2.714199468
75	barwell	9.7	1	1	1	1	f	1	5M	migen	1	1	2b	p8	2c	P8	2c	1	6	999	7	999	7	1	1	1	0	17	13	2	1	2	2	1	1	1	2	2	1	1.5	n+1	n-7	12	9	7	45	761	10	999	999	999	0	0	1	0	0	1	1	0	0	0	0	3	3	6	-1.306600738
76	barwell	9.21	1	1	1	1	f	1	5D	migen	1	2b	3b	2b	3b	2a	3a	6	9	6	9	5	8	1	1	1	0	23	6	1	2	1	1	3	1	1	1	1	1	1.3	n	n+4	12	9	7	45	761	10	9	999	999	0	1	1	0	0	1	1	0	0	0	0	4	4	9	-0.734866903
77	barwell	9.1	1	1	1	1	f	1	5D	grid algebra	0	2a	3a	3b	4b	3b	4b	5	8	9	12	9	12	1	1	1	0	21	10	1	2	2	2	3	1	1	1	2	1	1.6	n-7	n+4	8+4	n+9	7n	999	763	9	999	999	999	1	1	1	1	0	0	0	0	0	0	0	4	4	18	0.788552398
78	barwell	9.72	1	1	1	1	f	1	5M	migen	1	3b	4b	3b	4c	3b	4b	9	12	9	13	9	12	1	1	1	0	29	14	1	2	2	1	1	1	1	2	1	2	1.4	n-7	n+4	12	n+9	7n	45	763	12	a=3	u=4	m=4n	1	1	1	1	0	1	0	0	1	1	0	7	7	16	-0.860812636
79	barwell	9.09	1	1	1	1	m	0	5M	grid algebra	0	2b	3a	2c	3c	1	3c	6	8	7	10	1	10	1	1	1	0	17	12	2	1	1	1	1	1	1	2	1	2	1.3	n	n+4	n+8	n+5	n+3	45	n	9	8	4	5	0	1	0	0	0	1	0	0	0	0	0	2	2	14	-0.346456505
80	barwell	9.69	1	1	1	1	m	0	5M	grid algebra	0	1	2a	1	2b	1	2a	1	5	1	6	1	5	1	1	1	0	19	6	1	2	2	1	5	1	1	5	1	2	2.1	"n,7"	n+4	n+8	5	n+9	45	763	12	999	999	999	0	1	0	0	0	1	0	0	0	0	0	2	2	10	-1.44583957
81	barwell	9.58	1	1	1	1	f	1	5D	grid algebra	0	3b	4b	3b	4c	3b	4b	9	12	9	13	9	12	1	1	1	0	29	14	1	1	2	2	2	2	1	2	2	2	1.7	n-7	n+4	12	n+9	7n	45	763	15	a=3	4	13	1	1	1	1	0	1	0	0	1	0	0	6	6	16	0.221204816
82	barwell	9.96	1	1	1	1	f	1	5M	migen	1	2a	3a	2b	3a	3b	4c	5	8	6	8	9	13	1	1	1	0	21	7	2	3	3	4	4	2	1	5	4	5	3.3	n	n-4	12	999	999	45	762	12	999	999	999	0	0	1	0	0	1	0	0	0	0	0	2	2	14	-1.287308116
83	barwell	10.59	1	1	1	1	m	0	5D	migen	1	2c	3c	1b	2b	1	2a	7	10	3	6	1	5	1	1	1	0	27	7	1	1	2	3	4	2	1	1	1	1	1.7	n	n4	12	n+9	7n	45	763	14	a=3	5	999	0	0	1	1	0	1	0	0	1	0	0	4	4	12	-1.918219676
84	barwell	9.71	1	1	1	1	m	0	5D	grid algebra	0	2a	3a	2a	3a	2b	3a	5	8	5	8	6	8	1	1	1	0	17	11	1	1	1	1	1	1	1	1	1	1	1	n-7	n+4	n8	n+5	x3n	45	761	18	a6	v5	n34	1	1	0	0	0	1	1	0	0	0	0	4	4	13	0.093901175
85	barwell	9.86	1	1	1	1	m	0	5M	grid algebra	0	3b	4b	3b	4c	3b	4b	9	12	9	13	9	12	1	1	1	0	26	15	1	1	1	1	1	1	1	1	1	1	1	n-7	n+4	n+12	n+9	7n	45	763	15	a=3	4	8	1	1	0	1	0	1	0	0	1	0	0	5	5	17	0.777741928
86	barwell	9.32	1	1	1	1	m	0	5M	grid algebra	0	3b	4b	3b	4b	3b	4a	9	12	9	12	9	11	1	1	1	0	28	15	1	2	2	1	3	1	1	4	1	3	1.9	n-7	n+4	12	n+9	7n	45	761	12	a=3	u=4	m=13	1	1	1	1	0	1	1	0	1	1	1	9	9	5	0.060990492
87	barwell	9.73	1	1	1	1	m	0	5M	grid algebra	0	2b	3a	2b	3a	2b	3a	6	8	6	8	6	8	1	1	1	0	17	9	2	1	5	1	4	2	1	4	2	2	2.4	n-7	n4	999	n+9	999	45	999	12	999	999	999	1	0	0	1	0	1	0	0	0	0	0	3	3	10	-0.227363433
88	barwell	9.75	1	1	1	1	m	0	5M	grid algebra	0	3b	3a	2b	3b	2b	3a	9	8	6	9	6	8	1	1	1	0	23	11	1	2	2	1	1	3	1	1	1	1	1.4	999	999	999	999	999	9	999	999	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0	0	10	-1.692708216
89	barwell	9.97	1	1	1	1	m	0	5D	grid algebra	0	2b	3a	2b	3a	2b	3a	6	8	6	8	6	8	1	1	1	0	21	11	2	1	1	3	4	1	1	2	3	1	1.9	n+7	n+4	12	n+9	7n	45	762	12	999	999	999	0	1	1	1	0	1	0	0	0	0	0	4	4	10	0.356126026
90	barwell	9.94	1	1	1	1	f	1	5D	grid algebra	0	2b	3a	2b	3c	2b	3a	6	8	6	10	6	8	1	1	1	0	28	14	1	1	1	1	3	1	1	2	1	1	1.3	n	n+4	12	n+10	7n	45	763	9	a=8	they equal 1 and 3	they are different	0	1	1	0	0	1	0	0	0	0	0	3	3	11	0.887537714
91	barwell	9.72	1	1	1	1	f	1	5M	migen	1	2c	3a	1	2a	1	3c	7	8	1	5	1	10	1	1	1	0		9	1	1	1	1	1	1	1	1	1	1	1	n+1	n-7	n+4	n+4	n+4	35	872	12	a8	v3	m1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	-0.779731936
92	barwell	9.39	1	1	1	1	m	0	5D	migen	1	2c	3a	2c	3b	2c	3b	7	8	7	9	7	9	1	1	1	0	20	6	3	2	1	1	2	1	1	1	1	2	1.5	n-7	n+4	999	n+4	999	ab+2	999	1000	a+10	v+31	mn+n	1	1	0	0	0	0	0	0	0	0	0	2	2	10	-1.491875292
93	barwell	9.82	1	1	1	1	f	1	5M	migen	1	1	2a	1	2a	2c	3c	1	5	1	5	7	10	1	1	1	0	14	3	2	3	4	2	2	1	2	4	3	5	2.8	n-7	n	4	5	6	7	274	999	999	999	999	1	0	0	0	0	0	0	0	0	0	0	1	1	11	-1.517681255
94	barwell	9.58	1	1	1	1	m	0	5M	migen	1	2a	3a		2a	2c	3c	5	8	999	5	7	10	1	1	1	0	18	9	1	1	1	2	1	1	1	3	2	5	1.8	n-3	n+4	8	n+5	3n	45	527	13	10005	30	5	0	1	0	0	0	1	0	0	0	0	0	2	2	10	-1.009696455
95	barwell	9.45	1	1	1	1	m	0	5M	migen	1	2a	4c	2a	4c	2a	4c	5	13	5	13	5	13	1	1	1	0	18	9	1	1	2	2	1	1	1	1	1	2	1.3	n+4	n-7	12	n+9	7n	45	765	10	a=3	999	999	0	0	1	1	0	1	0	0	1	0	0	4	4	13	-0.675730755
96	barwell	10.04	1	1	1	1	m	0	5D	migen	1							999	999	999	999	999	999	1	1	1	0	24	14	1	1	1	1	1	1	1	1	1	1	1	n-7	n+4	999	999	999	45	999	999	999	999	999	1	1	0	0	0	1	0	0	0	0	0	3	3	15	-0.449827445
97	barwell	9.6	1	1	1	1	f	1	5M	migen	1	2c	3a	2a	3a	2a	4b	7	8	5	8	5	12	1	1	1	0	19	9	1	1	1	1	1	1	1	2	1	1	1.1	n	n-7	999	999	999	45	763	999	a=3	999	999	0	0	0	0	0	1	0	0	1	0	0	2	2	14	-1.463319245
98	barwell	9.85	1	1	1	1	f	1	5D	migen	1	2c	3b	2c	3c	2c	3b	7	9	7	10	7	9	1	1	1	0	24	5	5	1	3	2	1	1	2	4	3	4	2.6	n+1	n-7	999	999	999	432	999	999	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0	0	4	-2.396329759
99	Church_Hill	9.61	2	1	1	1	f	1		grid algebra	0	2a	3a	2a	3a	2a	4c	5	8	5	8	5	13	1	1	1	0	18	15	1	1	1	1	2	1	1	1	1	1	1.1	a+1	a+4	12	a+5=9	3n+4=7	45	763	9	it gets larger	the bigger the letter the smaller the number	?	0	0	1	0	0	1	0	0	0	0	0	2	2	16	0.436957896
