judge,candidate_chosen,candidate_not_chosen,TimeTaken,Internal,DateCreated
zjnzjlcnzjla,1119_alltaskscropped,628_alltaskscropped,117,undefined,15/02/201714:46:00
zjnzjlcnzjla,1198_alltaskscropped,1268_alltaskscropped,118,undefined,15/02/201714:26:00
zjnzjlcnzjla,139_alltaskscropped,1893_alltaskscropped,119,TRUE,10/03/201713:54:00
zjnzjlcnzjla,316_alltaskscropped,2003_alltaskscropped,12,undefined,15/02/201714:25:00
zjnzjlcnzjla,257_alltaskscropped,584_alltaskscropped,12,TRUE,28/02/201713:41:00
zjnzjlcnzjla,501_alltaskscropped,377_alltaskscropped,122,TRUE,10/03/201713:46:00
zjnzjlcnzjla,1268_alltaskscropped,1612_alltaskscropped,127,TRUE,28/02/201714:05:00
zjnzjlcnzjla,3_alltaskscropped,1731_alltaskscropped,129,TRUE,10/03/201712:47:00
zjnzjlcnzjla,346_alltaskscropped,1707_alltaskscropped,13,TRUE,10/03/201713:58:00
zjnzjlcnzjla,1321_alltaskscropped,1590_alltaskscropped,133,TRUE,10/03/201713:47:00
zjnzjlcnzjla,1448_alltaskscropped,1698_alltaskscropped,134,TRUE,10/03/201713:56:00
zjnzjlcnzjla,578_alltaskscropped,1848_alltaskscropped,135,TRUE,10/03/201714:05:00
zjnzjlcnzjla,132_alltaskscropped,732_alltaskscropped,135,TRUE,10/03/201712:45:00
zjnzjlcnzjla,387_alltaskscropped,110_alltaskscropped,135,undefined,14/02/201712:52:00
zjnzjlcnzjla,1484_alltaskscropped,914_alltaskscropped,135,undefined,15/02/201710:35:00
zjnzjlcnzjla,1262_alltaskscropped,624_alltaskscropped,135,TRUE,10/03/201711:18:00
zjnzjlcnzjla,1469_alltaskscropped,1647_alltaskscropped,137,TRUE,10/03/201714:05:00
zjnzjlcnzjla,311_alltaskscropped,305_alltaskscropped,137,undefined,14/02/201712:53:00
zjnzjlcnzjla,644_alltaskscropped,647_alltaskscropped,138,TRUE,10/03/201713:08:00
zjnzjlcnzjla,1674_alltaskscropped,1628_alltaskscropped,139,TRUE,10/03/201711:40:00
zjnzjlcnzjla,940_alltaskscropped,Y2hi,14,TRUE,10/03/201713:53:00
zjnzjlcnzjla,1040_alltaskscropped,1894_alltaskscropped,141,TRUE,10/03/201713:49:00
zjnzjlcnzjla,1565_alltaskscropped,440_alltaskscropped,141,TRUE,10/03/201711:41:00
zjnzjlcnzjla,191_alltaskscropped,325_alltaskscropped,142,undefined,15/02/201711:00:00
zjnzjlcnzjla,368_alltaskscropped,37_alltaskscropped,143,TRUE,10/03/201711:16:00
zjnzjlcnzjla,545_alltaskscropped,1730_alltaskscropped,143,TRUE,10/03/201713:58:00
zjnzjlcnzjla,1028_alltaskscropped,1816_alltaskscropped,145,TRUE,10/03/201713:09:00
zjnzjlcnzjla,1182_alltaskscropped,1805_alltaskscropped,145,TRUE,10/03/201713:56:00
zjnzjlcnzjla,776_alltaskscropped,1527_alltaskscropped,146,undefined,15/02/201714:51:00
zjnzjlcnzjla,1155_alltaskscropped,414_alltaskscropped,147,undefined,14/02/201712:50:00
zjnzjlcnzjla,1134_alltaskscropped,1322_alltaskscropped,148,undefined,14/02/201712:49:00
zjnzjlcnzjla,1245_alltaskscropped,112_alltaskscropped,151,TRUE,28/02/201713:41:00
zjnzjlcnzjla,124_alltaskscropped,784_alltaskscropped,151,TRUE,10/03/201711:26:00
zjnzjlcnzjla,164_alltaskscropped,72_alltaskscropped,151,TRUE,28/02/201713:42:00
zjnzjlcnzjla,1905_alltaskscropped,514_alltaskscropped,153,TRUE,10/03/201713:07:00
zjnzjlcnzjla,1452_alltaskscropped,1459_alltaskscropped,153,undefined,15/02/201710:37:00
zjnzjlcnzjla,478_alltaskscropped,668_alltaskscropped,159,undefined,15/02/201714:30:00
zjnzjlcnzjla,1183_alltaskscropped,1749_alltaskscropped,159,undefined,14/02/201712:53:00
zjnzjlcnzjla,901_alltaskscropped,116_alltaskscropped,159,TRUE,10/03/201713:46:00
zjnzjlcnzjla,11_alltaskscropped,1015_alltaskscropped,159,undefined,15/02/201710:35:00
zjnzjlcnzjla,1277_alltaskscropped,529_alltaskscropped,161,undefined,15/02/201714:59:00
zjnzjlcnzjla,984_alltaskscropped,1474_alltaskscropped,164,undefined,15/02/201714:26:00
zjnzjlcnzjla,436_alltaskscropped,516_alltaskscropped,165,TRUE,10/03/201711:14:00
zjnzjlcnzjla,1066_alltaskscropped,1415_alltaskscropped,165,TRUE,10/03/201711:15:00
zjnzjlcnzjla,1439_alltaskscropped,134_alltaskscropped,167,undefined,15/02/201714:52:00
zjnzjlcnzjla,1299_alltaskscropped,1844_alltaskscropped,169,undefined,15/02/201714:27:00
zjnzjlcnzjla,196_alltaskscropped,580_alltaskscropped,17,undefined,14/02/201712:47:00
zjnzjlcnzjla,107_alltaskscropped,10_alltaskscropped,172,TRUE,10/03/201713:53:00
zjnzjlcnzjla,1990_alltaskscropped,138_alltaskscropped,173,TRUE,10/03/201713:55:00
zjnzjlcnzjla,1096_alltaskscropped,510_alltaskscropped,174,TRUE,28/02/201714:11:00
zjnzjlcnzjla,1993_alltaskscropped,565_alltaskscropped,178,TRUE,10/03/201714:05:00
zjnzjlcnzjla,1700_alltaskscropped,888_alltaskscropped,179,undefined,15/02/201714:27:00
zjnzjlcnzjla,1800_alltaskscropped,1615_alltaskscropped,18,TRUE,10/03/201713:46:00
zjnzjlcnzjla,872_alltaskscropped,427_alltaskscropped,182,TRUE,10/03/201713:49:00
zjnzjlcnzjla,527_alltaskscropped,1868_alltaskscropped,185,undefined,14/02/201712:49:00
zjnzjlcnzjla,443_alltaskscropped,2018_alltaskscropped,187,undefined,15/02/201710:59:00
zjnzjlcnzjla,1443_alltaskscropped,1105_alltaskscropped,188,undefined,15/02/201714:24:00
zjnzjlcnzjla,821_alltaskscropped,970_alltaskscropped,189,undefined,15/02/201710:38:00
zjnzjlcnzjla,1702_alltaskscropped,1045_alltaskscropped,195,undefined,15/02/201714:28:00
zjnzjlcnzjla,205_alltaskscropped,1862_alltaskscropped,195,TRUE,10/03/201711:34:00
zjnzjlcnzjla,375_alltaskscropped,1930_alltaskscropped,198,TRUE,10/03/201712:46:00
zjnzjlcnzjla,440_alltaskscropped,1564_alltaskscropped,201,undefined,15/02/201714:55:00
zjnzjlcnzjla,173_alltaskscropped,1442_alltaskscropped,202,undefined,15/02/201714:46:00
zjnzjlcnzjla,869_alltaskscropped,1777_alltaskscropped,202,TRUE,28/02/201713:40:00
zjnzjlcnzjla,1294_alltaskscropped,22_alltaskscropped,203,undefined,14/02/201712:42:00
