session,judge,candidate_chosen,candidate_not_chosen
1,72,Sams,Coca Cola
1,72,Pepsi Real Sugar,Pepsi
1,72,Sams,Pepsi Real Sugar
1,72,Sams,Pepsi
1,72,Coca Cola,Mexican Coke
1,73,Mexican Coke,Coca Cola
1,73,RC,Coca Cola
1,73,Pepsi,Coca Cola
1,73,Coca Cola,Pepsi Real Sugar
1,73,Pepsi Real Sugar,Mexican Coke
1,74,Coca Cola,Mexican Coke
1,74,Coca Cola,RC
1,74,Sams,Pepsi
1,74,Mexican Coke,Pepsi
1,74,Coca Cola,Pepsi Real Sugar
1,75,Coca Cola,Pepsi
1,75,Coca Cola,Sams
1,75,RC,Coca Cola
1,75,Pepsi Real Sugar,Coca Cola
1,75,Pepsi,Pepsi Real Sugar
1,76,Coca Cola,Pepsi
1,76,Sams,Coca Cola
1,76,Pepsi Real Sugar,Pepsi
1,76,Pepsi,RC
1,76,RC,Pepsi Real Sugar
1,77,Coca Cola,Pepsi
1,77,Pepsi Real Sugar,Pepsi
1,77,Pepsi Real Sugar,Coca Cola
1,77,Coca Cola,Sams
1,77,Pepsi Real Sugar,Sams
1,78,Pepsi,Mexican Coke
1,78,RC,Pepsi
1,78,Sams,Pepsi Real Sugar
1,78,Sams,Coca Cola
1,78,Pepsi,Sams
1,79,Sams,Coca Cola
1,79,Coca Cola,Mexican Coke
1,79,Coca Cola,RC
1,79,Pepsi Real Sugar,Pepsi
1,79,Sams,Pepsi Real Sugar
1,80,Pepsi,Coca Cola
1,80,Coca Cola,Pepsi Real Sugar
1,80,RC,Pepsi
1,80,Pepsi,Pepsi Real Sugar
1,80,Sams,Pepsi Real Sugar
1,81,Coca Cola,Pepsi Real Sugar
1,81,Mexican Coke,Coca Cola
1,81,RC,Coca Cola
1,81,Coca Cola,Pepsi
1,81,Mexican Coke,Pepsi Real Sugar
1,82,Coca Cola,Pepsi Real Sugar
1,82,Pepsi,Sams
1,82,Pepsi,Mexican Coke
1,82,Pepsi Real Sugar,RC
1,82,Pepsi Real Sugar,Sams
1,83,RC,Coca Cola
1,83,Pepsi,Coca Cola
1,83,Coca Cola,Pepsi Real Sugar
1,83,Pepsi,Sams
1,83,Pepsi Real Sugar,Sams
