session,judge,candidate_chosen,candidate_not_chosen,time_taken
study2-simple,5290,124,149,3
study2-simple,5290,154,139,6
study2-simple,5290,174,169,4
study2-simple,5290,134,164,6
study2-simple,5290,144,169,2
study2-simple,5290,114,184,2
study2-simple,5962,159,164,51
study2-simple,5962,119,179,45
study2-simple,5962,144,114,89
study2-simple,5962,149,129,57
study2-simple,5962,134,124,36
study2-simple,5962,154,174,62
study2-simple,5962,184,139,97
study2-simple,5962,129,169,85
study2-simple,5962,119,159,17
study2-simple,5962,149,124,60
study2-simple,5962,154,134,7
study2-simple,5962,114,164,19
study2-simple,5962,179,144,13
study2-simple,5305,139,174,51
study2-simple,5305,184,124,42
study2-simple,5305,164,144,122
study2-simple,5305,114,154,39
study2-simple,5305,159,179,75
study2-simple,5305,119,129,30
study2-simple,5305,134,169,33
study2-simple,5305,139,149,26
study2-simple,5305,114,174,5
study2-simple,5305,119,159,13
study2-simple,5305,129,144,19
study2-simple,5305,179,184,5
study2-simple,5305,154,124,46
study2-simple,5305,149,164,14
study2-simple,5305,139,169,6
study2-simple,5305,134,174,4
study2-simple,5305,119,164,2
study2-simple,5305,129,179,36
study2-simple,5305,134,144,3
study2-simple,5305,114,124,3
study2-simple,5305,154,169,5
study2-simple,5305,149,159,13
study2-simple,5305,184,174,32
study2-simple,5305,139,184,3
study2-simple,5305,114,149,4
study2-simple,5779,159,164,83
study2-simple,5779,119,144,154
study2-simple,5779,129,169,33
study2-simple,5779,139,179,25
study2-simple,5779,134,174,27
study2-simple,5779,154,124,10
study2-simple,5779,149,114,23
study2-simple,5779,184,129,20
study2-simple,5779,119,124,5
study2-simple,6282,139,169,421
study2-simple,6282,159,144,524
study2-simple,6282,134,164,439
study2-simple,6282,179,174,403
study2-simple,6282,154,119,174
study2-simple,6282,114,124,32
study2-simple,6282,149,129,41
study2-simple,6282,139,184,18
study2-simple,6282,134,174,12
study2-simple,6282,144,154,13
study2-simple,6282,159,169,6
study2-simple,6282,179,164,18
study2-simple,6282,114,129,6
study2-simple,6282,149,119,5
study2-simple,6282,184,124,16
study2-simple,6282,154,164,8
study2-simple,6282,144,174,7
study2-simple,6282,139,134,14
study2-simple,6282,159,179,8
study2-simple,6282,114,169,5
study2-simple,6282,119,124,6
study2-simple,6282,149,184,5
study2-simple,6092,169,174,250
study2-simple,6282,179,129,16
study2-simple,6282,134,144,8
study2-simple,6282,159,139,15
study2-simple,6092,134,154,59
study2-simple,6092,119,164,17
study2-simple,6092,179,129,44
study2-simple,6092,114,124,58
study2-simple,6092,159,139,63
study2-simple,6092,184,149,57
study2-simple,6092,144,169,50
study2-simple,6092,154,164,164
study2-simple,6092,124,174,11
study2-simple,6092,119,114,6
study2-simple,6092,149,129,18
study2-simple,6092,134,139,13
study2-simple,6092,179,184,17
study2-simple,6024,159,174,13
study2-simple,6024,154,169,265
study2-simple,6024,164,144,369
study2-simple,6024,184,114,128
study2-simple,6024,149,124,19
study2-simple,6024,179,134,17
study2-simple,6024,139,129,96
study2-simple,6024,169,119,12
study2-simple,6024,174,144,264
study2-simple,6024,159,164,268
study2-simple,6024,139,154,12
study2-simple,6163,119,144,83
study2-simple,6163,134,114,41
study2-simple,6163,129,174,26
study2-simple,6163,159,154,57
study2-simple,5181,149,164,16
study2-simple,5181,179,124,11
study2-simple,5181,169,184,19
study2-simple,5181,134,139,13
study2-simple,5181,114,129,11
study2-simple,5181,119,159,19
study2-simple,5181,144,154,10
study2-simple,5181,124,174,2
study2-simple,5181,169,179,4
study2-simple,5181,149,184,3
study2-simple,5181,119,164,3
study2-simple,5181,129,174,3
study2-simple,5181,139,144,4
study2-simple,5181,159,154,6
study2-simple,5181,114,134,3
study2-simple,5181,179,164,4
study2-simple,5181,149,169,3
study2-simple,5181,184,124,7
study2-simple,6107,184,174,35
study2-simple,6107,154,159,8
study2-simple,6107,179,164,13
