seed_image,judge,type,candidate_chosen,candidate_not_chosen
1,39,Thr,Thr1.75,Thr1.25
1,39,Thr,Thr1.25,Thr0.5
1,39,Thr,Thr1.75,Thr0.5
1,39,Thr,Thr0.75,Thr0.5
1,39,Thr,Thr1.25,Thr2
1,39,Thr,Thr2,Thr0.5
1,39,Thr,Thr1.25,Thr1
1,39,Thr,Thr1.5,Thr0.5
1,39,Thr,Thr2.5,Thr1.25
1,39,Thr,Thr1.25,Thr0.5
1,39,Thr,Thr1.5,Thr1.25
1,39,Thr,Thr2.5,Thr1.5
1,39,Thr,Thr2.5,Thr1.25
1,39,Thr,Thr2.5,Thr2
1,39,Thr,Thr2.5,Thr0.75
1,39,Thr,Thr2.5,Thr1
1,39,Thr,Thr2.25,Thr2.5
1,39,Thr,Thr2.5,Thr0.5
1,39,Thr,Thr2.5,Thr1.75
1,39,Thr,Thr1.75,Thr2
1,39,Thr,Thr1.75,Thr1.25
1,39,Thr,Thr1.75,Thr2.25
1,39,Thr,Thr1.75,Thr1.5
1,39,Thr,Thr1.75,Thr0.5
1,39,Thr,Thr1.75,Thr2.5
1,39,Thr,Thr1.75,Thr1
1,39,Thr,Thr0.75,Thr1.75
1,39,Thr,Thr1,Thr1.25
1,39,Thr,Thr2,Thr1
1,39,Thr,Thr0.75,Thr1
1,39,Thr,Thr2.5,Thr1
1,39,Thr,Thr2.25,Thr1
1,39,Thr,Thr0.5,Thr1
1,39,Thr,Thr1.5,Thr1
1,39,Thr,Thr1.75,Thr1
1,39,Thr,Thr2.5,Thr0.75
1,39,Thr,Thr0.75,Thr1.25
1,39,Thr,Thr0.5,Thr0.75
1,39,Thr,Thr1.75,Thr0.75
1,39,Thr,Thr2.25,Thr0.75
1,39,Thr,Thr2,Thr0.75
1,39,Thr,Thr0.75,Thr1.5
1,39,Thr,Thr0.75,Thr1
1,39,Thr,Thr1.75,Thr1.5
1,39,Thr,Thr1.5,Thr1.25
1,39,Thr,Thr1.5,Thr0.75
1,39,Thr,Thr1.5,Thr2.25
1,39,Thr,Thr1.5,Thr0.5
1,39,Thr,Thr1.5,Thr1
1,39,Thr,Thr2.5,Thr1.5
1,39,Thr,Thr2,Thr1.5
1,40,Thr,Thr2,Thr0.5
1,40,Thr,Thr0.5,Thr0.75
1,40,Thr,Thr1.25,Thr0.5
1,40,Thr,Thr2.25,Thr1.25
1,40,Thr,Thr1.25,Thr0.5
1,40,Thr,Thr1.75,Thr0.5
1,40,Thr,Thr1.75,Thr1.25
1,40,Thr,Thr2.25,Thr0.5
1,40,Thr,Thr1.25,Thr1
1,40,Thr,Thr1.5,Thr1.25
1,40,Thr,Thr2.5,Thr1.25
1,40,Thr,Thr0.5,Thr1
1,40,Thr,Thr1.5,Thr0.5
1,40,Thr,Thr0.75,Thr1.25
1,40,Thr,Thr2,Thr1.25
1,40,Thr,Thr2.5,Thr0.5
1,40,Thr,Thr2,Thr0.5
1,40,Thr,Thr1.75,Thr2
1,40,Thr,Thr2,Thr1
1,40,Thr,Thr2,Thr2.5
1,40,Thr,Thr2,Thr0.75
1,40,Thr,Thr2,Thr1.25
1,40,Thr,Thr2,Thr2.25
1,40,Thr,Thr2,Thr1.5
1,40,Thr,Thr2.25,Thr1
1,40,Thr,Thr2.25,Thr2
1,40,Thr,Thr2.25,Thr1.25
1,40,Thr,Thr2.25,Thr0.5
1,40,Thr,Thr2.25,Thr1.75
1,40,Thr,Thr2.5,Thr2.25
1,40,Thr,Thr2.25,Thr1.5
1,40,Thr,Thr2.25,Thr0.75
1,40,Thr,Thr2.5,Thr1.25
1,40,Thr,Thr2.5,Thr0.5
1,40,Thr,Thr2.5,Thr1.75
1,40,Thr,Thr2.5,Thr1
1,40,Thr,Thr2.5,Thr0.75
1,40,Thr,Thr2.5,Thr2.25
1,40,Thr,Thr2.5,Thr1.5
1,40,Thr,Thr2.5,Thr2
1,40,Thr,Thr0.75,Thr1.25
1,40,Thr,Thr2.5,Thr0.75
1,40,Thr,Thr2,Thr0.75
1,40,Thr,Thr1.5,Thr0.75
1,40,Thr,Thr2.25,Thr0.75
1,40,Thr,Thr1.75,Thr0.75
1,40,Thr,Thr0.5,Thr0.75
1,40,Thr,Thr0.75,Thr1
1,40,Thr,Thr2.25,Thr1.5
1,40,Thr,Thr1.25,Thr1.5
1,40,Thr,Thr1,Thr1.5
1,40,Thr,Thr0.5,Thr1.5
1,40,Thr,Thr1.75,Thr1.5
1,40,Thr,Thr0.75,Thr1.5
1,40,Thr,Thr2.5,Thr1.5
1,40,Thr,Thr2,Thr1.5
1,40,Thr,Thr0.5,Thr1.75
1,40,Thr,Thr2.5,Thr1.75
1,40,Thr,Thr1.75,Thr1.25
1,40,Thr,Thr1.75,Thr1.5
1,40,Thr,Thr1.75,Thr1
1,40,Thr,Thr1.75,Thr0.75
1,40,Thr,Thr1.75,Thr2
1,40,Thr,Thr1.75,Thr2.25
1,40,Thr,Thr1,Thr2.25
1,40,Thr,Thr0.5,Thr1
1,40,Thr,Thr1,Thr1.25
1,40,Thr,Thr0.75,Thr1
1,40,Thr,Thr1,Thr2
1,40,Thr,Thr1.75,Thr1
1,40,Thr,Thr1,Thr2.5
1,40,Thr,Thr1.5,Thr1
1,53,Thr,Thr2.5,Thr2.25
1,53,Thr,Thr2.25,Thr1.25
1,53,Thr,Thr1,Thr2.25
1,53,Thr,Thr1.5,Thr2.25
1,53,Thr,Thr2,Thr2.25
1,53,Thr,Thr1.75,Thr2.25
1,53,Thr,Thr0.5,Thr2.25
1,53,Thr,Thr0.75,Thr2.25
1,53,Thr,Thr1,Thr0.5
1,53,Thr,Thr0.75,Thr1
1,53,Thr,Thr2,Thr1
1,53,Thr,Thr1.5,Thr1
1,53,Thr,Thr1.75,Thr1
1,53,Thr,Thr1.25,Thr1
1,53,Thr,Thr2.5,Thr1
1,53,Thr,Thr2.25,Thr1
1,53,Thr,Thr2.25,Thr1.25
1,53,Thr,Thr1,Thr0.5
1,53,Thr,Thr2.5,Thr1.25
1,53,Thr,Thr1.25,Thr2
1,53,Thr,Thr1,Thr1.25
1,53,Thr,Thr0.5,Thr2.5
1,53,Thr,Thr0.5,Thr1.75
1,53,Thr,Thr1.25,Thr0.5
1,53,Thr,Thr1.25,Thr1.5
1,53,Thr,Thr1.25,Thr1.75
1,53,Thr,Thr0.5,Thr2.25
1,53,Thr,Thr0.75,Thr1.25
1,53,Thr,Thr1.5,Thr0.5
1,53,Thr,Thr0.5,Thr1.25
1,53,Thr,Thr0.75,Thr0.5
1,53,Thr,Thr0.5,Thr2
1,53,Thr,Thr1.5,Thr2.5
1,53,Thr,Thr0.75,Thr2.5
1,53,Thr,Thr2,Thr2.5
1,53,Thr,Thr1.75,Thr2.5
1,53,Thr,Thr0.5,Thr2.5
1,53,Thr,Thr1.25,Thr2.5
1,53,Thr,Thr2.25,Thr2.5
1,53,Thr,Thr1,Thr2.5
1,53,Thr,Thr0.5,Thr0.75
1,53,Thr,Thr0.75,Thr1.75
1,53,Thr,Thr1,Thr0.75
1,53,Thr,Thr0.75,Thr1.25
1,53,Thr,Thr2,Thr0.75
1,53,Thr,Thr0.75,Thr2.25
1,53,Thr,Thr0.75,Thr1.5
1,53,Thr,Thr0.75,Thr2.5
1,53,Thr,Thr0.5,Thr1.5
1,53,Thr,Thr1.5,Thr2.5
1,53,Thr,Thr1.5,Thr1.75
1,53,Thr,Thr0.75,Thr1.5
1,53,Thr,Thr1.5,Thr2.25
1,53,Thr,Thr1.5,Thr2
1,53,Thr,Thr1.25,Thr1.5
1,53,Thr,Thr1,Thr1.5
1,53,Thr,Thr1.75,Thr2
1,53,Thr,Thr1.75,Thr2.5
1,53,Thr,Thr1.5,Thr1.75
1,53,Thr,Thr1.75,Thr2.25
1,53,Thr,Thr0.75,Thr1.75
1,53,Thr,Thr1.25,Thr1.75
1,53,Thr,Thr0.5,Thr1.75
1,53,Thr,Thr1,Thr1.75
1,53,Thr,Thr2,Thr2.25
1,53,Thr,Thr1.75,Thr2
1,53,Thr,Thr1.25,Thr2
1,53,Thr,Thr0.75,Thr2
1,53,Thr,Thr1,Thr2
1,53,Thr,Thr1.5,Thr2
1,53,Thr,Thr0.5,Thr2
1,53,Thr,Thr2,Thr2.5
1,58,Thr,Thr2.25,Thr1.75
1,58,Thr,Thr2.5,Thr2.25
1,58,Thr,Thr2.25,Thr0.75
1,58,Thr,Thr2.25,Thr0.5
1,58,Thr,Thr2.25,Thr1.25
1,58,Thr,Thr2.25,Thr1.5
1,58,Thr,Thr2.25,Thr2
1,58,Thr,Thr2.25,Thr1
1,58,Thr,Thr2.5,Thr2.25
1,58,Thr,Thr2.5,Thr0.5
