session,judge,candidate_chosen,candidate_not_chosen,time_taken
study2-rigour,5506,117,167,5
study2-rigour,5829,147,112,18
study2-rigour,5829,167,182,17
study2-rigour,5829,157,142,10
study2-rigour,5829,152,137,11
study2-rigour,5829,177,172,5
study2-rigour,5829,132,127,15
study2-rigour,5829,162,117,12
study2-rigour,5829,112,122,10
study2-rigour,5829,142,132,17
study2-rigour,5829,122,117,14
study2-rigour,5829,157,177,9
study2-rigour,5829,147,167,15
study2-rigour,5829,127,182,16
study2-rigour,5829,162,152,14
study2-rigour,5829,137,172,9
study2-rigour,5829,172,112,14
study2-rigour,5829,177,137,12
study2-rigour,5829,142,162,19
study2-rigour,5829,132,117,12
study2-rigour,5829,157,147,8
study2-rigour,5829,152,167,15
study2-rigour,5829,122,182,8
study2-rigour,5829,112,127,8
study2-rigour,5829,142,117,9
study2-rigour,5829,132,147,17
study2-rigour,5810,157,182,14
study2-rigour,5810,152,172,15
study2-rigour,5810,162,127,4
study2-rigour,5810,167,112,4
study2-rigour,5810,137,122,10
study2-rigour,5810,177,117,39
study2-rigour,5810,147,132,52
study2-rigour,5810,142,137,48
study2-rigour,5810,162,182,48
study2-rigour,5810,127,112,61
study2-rigour,5810,177,152,35
study2-rigour,5810,157,172,19
study2-rigour,5810,167,122,10
study2-rigour,5810,147,117,4
study2-rigour,5810,142,132,7
study2-rigour,5810,172,182,8
study2-rigour,5810,137,177,10
study2-rigour,5810,157,122,6
study2-rigour,5810,167,127,9
study2-rigour,5810,162,152,8
study2-rigour,5810,112,117,7
study2-rigour,5810,142,147,9
study2-rigour,5810,167,132,8
study2-rigour,5810,157,177,8
study2-rigour,5237,127,137,23
study2-rigour,5237,152,162,40
study2-rigour,5237,182,122,13
study2-rigour,5237,172,112,18
study2-rigour,5237,147,117,7
study2-rigour,5237,157,142,24
study2-rigour,5237,177,132,85
study2-rigour,5237,167,172,6
study2-rigour,5237,182,127,6
study2-rigour,5237,137,162,7
study2-rigour,5237,122,112,6
study2-rigour,5237,147,152,5
study2-rigour,5237,177,117,4
study2-rigour,5237,167,132,4
study2-rigour,5237,157,172,6
study2-rigour,5237,142,162,5
study2-rigour,5237,152,137,6
study2-rigour,5237,127,112,3
study2-rigour,5237,157,182,2
study2-rigour,5237,147,122,3
study2-rigour,5237,142,132,2
study2-rigour,5237,167,117,2
study2-rigour,5237,177,112,3
study2-rigour,6031,137,172,238
study2-rigour,6031,162,127,166
study2-rigour,6031,152,117,36
study2-rigour,6031,182,147,89
study2-rigour,6031,177,112,35
study2-rigour,6031,157,122,14
study2-rigour,6031,132,167,7
study2-rigour,6031,137,142,31
study2-rigour,6031,147,172,8
study2-rigour,6031,177,122,9
study2-rigour,6031,182,112,13
study2-rigour,6031,167,117,10
study2-rigour,5990,152,132,17
study2-rigour,5990,162,137,12
study2-rigour,5990,157,172,14
study2-rigour,5990,127,117,8
study2-rigour,5990,112,147,13
study2-rigour,5990,167,142,6
study2-rigour,5990,182,122,6
study2-rigour,5990,162,177,7
study2-rigour,5990,152,137,7
study2-rigour,5990,172,127,4
study2-rigour,5926,132,127,135
study2-rigour,5926,172,162,74
study2-rigour,5926,157,142,41
study2-rigour,5926,152,167,64
study2-rigour,5926,147,177,28
study2-rigour,5926,117,112,18
study2-rigour,5926,137,122,31
study2-rigour,5926,182,112,24
study2-rigour,5926,172,177,91
study2-rigour,5926,127,167,16
study2-rigour,5926,157,162,9
study2-rigour,5926,147,142,7
study2-rigour,5926,132,117,6
study2-rigour,5926,152,122,10
study2-rigour,5926,137,182,7
study2-rigour,5926,172,117,10
study2-rigour,5926,127,112,5
study2-rigour,5926,157,132,10
study2-rigour,5926,147,167,10
study2-rigour,5926,162,177,9
study2-rigour,5926,152,142,6
study2-rigour,5926,182,122,2
study2-rigour,5926,137,177,8
study2-rigour,5926,162,147,7
study2-rigour,5926,132,142,6
study2-rigour,6295,127,112,15
study2-rigour,6295,167,157,9
study2-rigour,6295,152,117,11
study2-rigour,6295,132,172,8
study2-rigour,6295,162,147,8
study2-rigour,6295,182,137,6
study2-rigour,6295,177,122,6
study2-rigour,6295,142,172,4
study2-rigour,6295,157,117,7
study2-rigour,6295,152,167,6
study2-rigour,5316,127,112,54
study2-rigour,5316,182,172,59
study2-rigour,5316,117,147,40
study2-rigour,5316,177,122,33
study2-rigour,5316,157,152,16
study2-rigour,5807,142,127,238
study2-rigour,5807,132,112,113
study2-rigour,5807,167,162,324
study2-rigour,5807,172,137,299
study2-rigour,5807,177,147,368
study2-rigour,5807,152,117,119
study2-rigour,5807,157,182,1644
study2-rigour,5807,167,122,39
study2-rigour,5807,142,162,56
study2-rigour,5807,137,132,68
study2-rigour,7757,127,112,33
study2-rigour,7757,137,172,14
study2-rigour,7757,142,147,27
study2-rigour,7757,152,132,10
study2-rigour,7757,157,177,9
study2-rigour,7757,167,117,4
study2-rigour,7757,162,122,3
study2-rigour,7757,127,182,4
study2-rigour,7757,132,112,4
study2-rigour,7757,137,152,6
study2-rigour,7757,167,177,7
study2-rigour,6143,142,117,81
study2-rigour,6143,162,172,229
study2-rigour,6143,122,112,117
study2-rigour,6143,127,182,85
study2-rigour,6143,157,147,168
study2-rigour,6143,152,177,183
study2-rigour,6143,137,132,160
study2-rigour,6143,167,112,74
study2-rigour,6143,162,117,153
study2-rigour,6143,147,172,48
study2-rigour,6143,157,127,49
study2-rigour,6143,142,122,84
study2-rigour,6143,152,182,136
study2-rigour,5909,182,157,51
study2-rigour,5909,132,127,25
study2-rigour,5909,177,112,5
study2-rigour,5909,162,122,9
study2-rigour,5909,117,167,17
study2-rigour,5909,147,172,14
study2-rigour,5909,137,142,8
study2-rigour,5909,152,167,10
study2-rigour,5909,117,137,6
study2-rigour,5909,182,122,7
study2-rigour,5909,147,162,6
study2-rigour,5909,127,142,8
study2-rigour,5909,177,172,7
study2-rigour,5909,157,112,4
study2-rigour,5909,132,152,9
study2-rigour,5909,137,172,5
study2-rigour,5909,147,132,6
study2-rigour,5909,117,157,9
study2-rigour,5909,177,127,8
study2-rigour,5909,162,112,39
study2-rigour,5909,122,167,6
study2-rigour,5909,182,142,5
study2-rigour,5909,147,152,5
study2-rigour,5909,122,112,3
study2-rigour,5909,142,172,3
study2-rigour,6048,157,127,28
study2-rigour,6048,182,117,34
study2-rigour,6048,162,167,41
study2-rigour,6048,177,132,33
study2-rigour,6048,137,142,45
study2-rigour,6032,137,132,131
study2-rigour,6048,152,172,35
study2-rigour,6032,157,167,33
study2-rigour,6048,147,122,12
study2-rigour,6048,177,112,21
study2-rigour,6048,162,182,8
study2-rigour,6032,177,182,35
study2-rigour,6032,127,117,5
study2-rigour,6032,112,122,4
study2-rigour,6032,162,142,6
study2-rigour,6048,127,117,23
study2-rigour,6032,172,147,11
study2-rigour,6032,137,152,7
study2-rigour,6048,157,172,20
study2-rigour,6032,167,132,11
study2-rigour,6032,147,122,7
study2-rigour,6032,152,142,10
study2-rigour,6032,127,112,6
study2-rigour,6032,157,117,2
study2-rigour,6032,162,182,3
study2-rigour,6048,167,132,34
study2-rigour,6032,172,177,5
study2-rigour,6032,137,167,6
study2-rigour,6032,177,147,5
study2-rigour,6048,137,152,34
study2-rigour,6048,142,122,20
study2-rigour,6048,147,112,11
study2-rigour,6048,157,117,7
study2-rigour,6032,132,112,46
study2-rigour,6032,162,127,21
study2-rigour,6032,157,182,27
study2-rigour,6032,142,122,21
study2-rigour,6032,152,117,29
study2-rigour,6032,172,182,14
study2-rigour,6032,162,137,8
study2-rigour,6032,167,177,19
study2-rigour,5504,127,132,197
study2-rigour,5504,167,182,541
study2-rigour,5504,147,152,110
study2-rigour,5504,157,137,158
study2-rigour,5504,112,122,145
study2-rigour,5639,127,142,111
study2-rigour,5504,162,117,144
study2-rigour,5639,177,172,144
study2-rigour,5639,157,132,165
study2-rigour,5504,177,172,247
study2-rigour,5639,162,182,269
study2-rigour,5504,162,142,210
study2-rigour,5639,137,152,58
study2-rigour,5504,147,117,60
study2-rigour,5639,167,122,132
study2-rigour,5639,147,112,21
study2-rigour,5639,117,132,7
study2-rigour,5639,127,167,6
study2-rigour,5639,112,122,6
study2-rigour,5639,157,177,13
study2-rigour,5504,112,132,178
study2-rigour,5426,122,127,146
study2-rigour,5639,137,172,43
