judge,candidate_chosen,candidate_not_chosen,group
188,152,123,peer2
204,152,130,peer2
188,152,132,peer2
93,152,155,peer2
76,152,195,peer2
164,152,201,peer2
105,152,217,peer2
115,153,27,peer2
224,153,31,peer2
94,153,37,peer2
52,153,77,peer2
224,153,88,peer2
136,153,91,peer2
184,153,94,peer2
149,153,96,peer2
77,153,104,peer2
188,153,109,peer2
52,153,124,peer2
173,153,124,peer2
115,153,141,peer2
54,153,157,peer2
149,153,190,peer2
200,153,226,peer2
212,154,3,peer2
65,154,88,peer2
93,154,97,peer2
175,154,102,peer2
34,154,142,peer2
209,154,199,peer2
152,154,211,peer2
175,154,218,peer2
101,155,37,peer2
196,155,37,peer2
98,155,78,peer2
201,155,88,peer2
136,155,93,peer2
152,155,93,peer2
101,155,146,peer2
42,155,170,peer2
42,155,180,peer2
169,155,202,peer2
124,155,219,peer2
161,155,227,peer2
205,157,41,peer2
59,157,179,peer2
205,157,206,peer2
208,157,209,peer2
59,157,217,peer2
205,159,30,peer2
90,159,94,peer2
37,163,36,peer2
213,163,44,peer2
169,163,111,peer2
213,163,230,peer2
205,164,30,peer2
94,167,28,peer2
106,167,35,peer2
59,167,36,peer2
143,167,58,peer2
197,167,65,peer2
94,167,74,peer2
196,167,136,peer2
196,167,155,peer2
21,167,179,peer2
131,167,225,peer2
184,168,24,peer2
197,168,25,peer2
188,168,45,peer2
194,168,53,peer2
141,168,140,peer2
94,168,153,peer2
197,168,180,peer2
89,168,205,peer2
88,168,228,peer2
135,169,92,peer2
200,169,102,peer2
77,169,108,peer2
164,169,108,peer2
167,169,115,peer2
89,169,130,peer2
167,169,141,peer2
70,169,155,peer2
60,170,8,peer2
209,170,32,peer2
161,170,35,peer2
105,170,36,peer2
23,170,191,peer2
4,170,208,peer2
57,171,49,peer2
28,171,76,peer2
57,171,93,peer2
208,171,114,peer2
37,171,184,peer2
37,171,208,peer2
102,171,209,peer2
240,171,211,peer2
149,175,6,peer2
60,175,27,peer2
184,175,43,peer2
226,175,52,peer2
131,175,75,peer2
37,175,96,peer2
60,175,105,peer2
57,175,141,peer2
102,175,171,peer2
102,175,176,peer2
62,175,219,peer2
163,176,7,peer2
203,176,24,peer2
2,176,76,peer2
102,176,97,peer2
203,176,112,peer2
138,176,157,peer2
184,179,34,peer2
149,179,148,peer2
90,179,202,peer2
45,180,102,peer2
45,180,122,peer2
201,180,176,peer2
230,180,201,peer2
93,180,227,peer2
144,181,34,peer2
204,181,159,peer2
147,181,179,peer2
75,181,203,peer2
90,181,205,peer2
143,181,223,peer2
174,182,7,peer2
161,182,29,peer2
230,182,34,peer2
77,182,46,peer2
54,182,50,peer2
174,182,122,peer2
204,182,191,peer2
142,182,193,peer2
41,182,198,peer2
93,184,28,peer2
186,184,151,peer2
152,187,41,peer2
142,187,48,peer2
2,187,90,peer2
147,187,164,peer2
147,187,181,peer2
75,187,216,peer2
197,189,20,peer2
75,189,111,peer2
45,190,4,peer2
57,190,44,peer2
53,190,57,peer2
89,190,57,peer2
240,190,58,peer2
147,190,128,peer2
89,190,192,peer2
147,190,217,peer2
202,191,2,peer2
240,191,49,peer2
131,191,157,peer2
183,191,212,peer2
188,192,45,peer2
76,192,56,peer2
173,192,74,peer2
131,192,75,peer2
77,192,76,peer2
188,192,86,peer2
184,192,126,peer2
173,192,141,peer2
76,192,146,peer2
38,192,190,peer2
101,193,4,peer2
36,193,45,peer2
94,193,116,peer2
163,193,142,peer2
240,193,143,peer2
163,193,212,peer2
203,193,218,peer2
200,194,103,peer2
77,194,144,peer2
152,194,206,peer2
62,195,22,peer2
4,195,24,peer2
152,195,71,peer2
120,195,149,peer2
208,195,151,peer2
208,195,184,peer2
143,198,44,peer2
197,198,48,peer2
184,198,87,peer2
