session,judge,candidate_chosen,candidate_not_chosen,time_taken
study2-understanding,5968,170,145,21
study2-understanding,5968,160,150,15
study2-understanding,5968,140,165,15
study2-understanding,5968,185,125,6
study2-understanding,5968,155,115,6
study2-understanding,5968,175,180,9
study2-understanding,5968,170,130,8
study2-understanding,5968,160,135,5
study2-understanding,5968,120,125,11
study2-understanding,5968,145,150,8
study2-understanding,5968,165,155,4
study2-understanding,5968,140,185,13
study2-understanding,5968,170,115,3
study2-understanding,5968,180,120,4
study2-understanding,5968,175,135,4
study2-understanding,5968,130,185,9
study2-understanding,5968,165,150,5
study2-understanding,5968,145,115,6
study2-understanding,6316,140,125,19
study2-understanding,6316,155,160,6
study2-understanding,6316,165,150,6
study2-understanding,6316,130,175,3
study2-understanding,6316,180,185,5
study2-understanding,6316,120,145,3
study2-understanding,6316,135,115,8
study2-understanding,6316,170,125,6
study2-understanding,6316,155,140,4
study2-understanding,6316,160,145,5
study2-understanding,6316,165,185,3
study2-understanding,6316,135,120,5
study2-understanding,6316,170,150,17
study2-understanding,6316,175,180,9
study2-understanding,6316,115,130,3
study2-understanding,6316,155,125,5
study2-understanding,6316,160,140,6
study2-understanding,6316,165,175,5
study2-understanding,6316,135,150,3
study2-understanding,6316,170,120,3
study2-understanding,6316,180,130,3
study2-understanding,6316,185,115,2
study2-understanding,6316,155,145,2
study2-understanding,6316,160,125,3
study2-understanding,6316,185,140,5
study2-understanding,6103,130,135,125
study2-understanding,6103,145,165,8
study2-understanding,7066,170,175,80
study2-understanding,7066,155,115,130
study2-understanding,7066,160,150,37
study2-understanding,7066,125,140,29
study2-understanding,7066,180,120,9
study2-understanding,6272,140,170,23
study2-understanding,6272,125,150,10
study2-understanding,6272,165,180,4
study2-understanding,6272,120,145,4
study2-understanding,6272,130,175,10
study2-understanding,6272,185,160,94
study2-understanding,6272,115,135,6
study2-understanding,6272,155,175,8
study2-understanding,6272,115,125,7
study2-understanding,6272,185,180,4
study2-understanding,6272,130,165,9
study2-understanding,6272,120,170,2
study2-understanding,6272,135,160,11
study2-understanding,6272,155,140,6
study2-understanding,6272,145,150,8
study2-understanding,6272,185,175,2
study2-understanding,6272,125,145,6
study2-understanding,6272,170,160,8
study2-understanding,6272,115,155,3
study2-understanding,6272,120,130,2
study2-understanding,6272,150,140,10
study2-understanding,6272,180,135,6
study2-understanding,6272,175,165,5
study2-understanding,6272,120,150,5
study2-understanding,6272,130,135,4
study2-understanding,5871,125,115,113
study2-understanding,5871,185,170,202
study2-understanding,5871,160,140,137
study2-understanding,5871,145,180,198
study2-understanding,5871,155,165,192
study2-understanding,5871,150,120,59
study2-understanding,5871,135,130,20
study2-understanding,5871,155,175,20
study2-understanding,5871,185,115,5
study2-understanding,5871,125,180,6
study2-understanding,5871,145,140,7
study2-understanding,5871,165,170,13
study2-understanding,5871,160,150,7
study2-understanding,5871,120,175,4
study2-understanding,5871,185,130,5
study2-understanding,5871,140,135,9
study2-understanding,5871,160,180,6
study2-understanding,6703,145,155,632
study2-understanding,6797,115,165,108
study2-understanding,6797,170,125,241
study2-understanding,6797,135,155,158
study2-understanding,5615,115,125,6
study2-understanding,5615,120,150,7
study2-understanding,5615,180,145,7
study2-understanding,6797,150,145,199
study2-understanding,5615,170,140,9
study2-understanding,5615,175,165,8
study2-understanding,5615,185,130,8
study2-understanding,5615,160,135,6
study2-understanding,5615,155,165,5
study2-understanding,5615,180,175,4
study2-understanding,5615,115,120,4
study2-understanding,5615,170,125,4
study2-understanding,5615,185,140,3
study2-understanding,5615,130,160,4
study2-understanding,5615,155,145,6
study2-understanding,5615,150,135,3
