judge,candidate_chosen,candidate_not_chosen,time_taken
fGNbMkneyek8tyCG9,MFcor3aTKnq29A2W6,ACEGpME2RJvXyuynF,7.555
aWSbAXGNHgzZsBTnz,ea5tYyskbe2hJxyBg,S2jRQuwxfrevH7NTy,36.532
fJC3QTuTKQCjPdtg7,cvP4FRNexvEeDmSwW,Mc6NBSWC4NvRT3tBn,287.591
qH3PsB5bTfazu6C69,cvP4FRNexvEeDmSwW,fxspS2SEz3Bv3LgYY,5.264
fJC3QTuTKQCjPdtg7,dgovLjAkHKactw8Te,fxspS2SEz3Bv3LgYY,12.086
aWSbAXGNHgzZsBTnz,FCwSmYgHBoASKQyD4,dgovLjAkHKactw8Te,8.054
crjQ3f6BsbXqwkqcK,S2jRQuwxfrevH7NTy,KuHzmmptLeDhhsWPx,13.032
qH3PsB5bTfazu6C69,ACEGpME2RJvXyuynF,KuHzmmptLeDhhsWPx,419.471
fJC3QTuTKQCjPdtg7,cvP4FRNexvEeDmSwW,yoQr5KJnZboZZXt3K,74.083
fJC3QTuTKQCjPdtg7,S2jRQuwxfrevH7NTy,ACEGpME2RJvXyuynF,34.902
aWSbAXGNHgzZsBTnz,S2jRQuwxfrevH7NTy,T5obF7dxiMLKmjcJJ,163.63
fGNbMkneyek8tyCG9,cvP4FRNexvEeDmSwW,dgovLjAkHKactw8Te,15.402
fGNbMkneyek8tyCG9,dgovLjAkHKactw8Te,zoyLcsyuhL33JMGaA,18.939
fJC3QTuTKQCjPdtg7,Yt6mzQcy3Qejg82CQ,cvP4FRNexvEeDmSwW,19.272
fJC3QTuTKQCjPdtg7,ea5tYyskbe2hJxyBg,fxspS2SEz3Bv3LgYY,9.489
fJC3QTuTKQCjPdtg7,ea5tYyskbe2hJxyBg,Yt6mzQcy3Qejg82CQ,18.092
aWSbAXGNHgzZsBTnz,KuHzmmptLeDhhsWPx,ACEGpME2RJvXyuynF,4.99
qH3PsB5bTfazu6C69,KuHzmmptLeDhhsWPx,T5obF7dxiMLKmjcJJ,364.394
fJC3QTuTKQCjPdtg7,dgovLjAkHKactw8Te,ACEGpME2RJvXyuynF,123.138
qH3PsB5bTfazu6C69,S2jRQuwxfrevH7NTy,fxspS2SEz3Bv3LgYY,11.819
fGNbMkneyek8tyCG9,cvP4FRNexvEeDmSwW,Mc6NBSWC4NvRT3tBn,3.781
fGNbMkneyek8tyCG9,T5obF7dxiMLKmjcJJ,zoyLcsyuhL33JMGaA,26.86
qH3PsB5bTfazu6C69,dgovLjAkHKactw8Te,FCwSmYgHBoASKQyD4,196.789
crjQ3f6BsbXqwkqcK,KuHzmmptLeDhhsWPx,fxspS2SEz3Bv3LgYY,18.693
qH3PsB5bTfazu6C69,yoQr5KJnZboZZXt3K,KuHzmmptLeDhhsWPx,14.371
crjQ3f6BsbXqwkqcK,cvP4FRNexvEeDmSwW,FCwSmYgHBoASKQyD4,82.879
crjQ3f6BsbXqwkqcK,cvP4FRNexvEeDmSwW,fxspS2SEz3Bv3LgYY,22.39
fGNbMkneyek8tyCG9,S2jRQuwxfrevH7NTy,KuHzmmptLeDhhsWPx,9.579
fGNbMkneyek8tyCG9,KuHzmmptLeDhhsWPx,dgovLjAkHKactw8Te,30.34
