judge,candidate_chosen,candidate_not_chosen,time_taken
N2,256322-256314-21787574,C38.1 word,4.7
N2,C102.2 word,C9.2 word,6
N2,C22.2 word,C105.2 word,6.7
N2,256322-256314-21950198,C30.1 word,8.6
N2,C93.1 word,256322-256314-21839336,13.2
N2,256322-256314-21787574,C34.1 word,1.5
N2,C45.2 word,C25.1 word,3.3
N2,256322-256314-22795338,C99.2 word,4
N2,C82.1 word,C102.2 word,4.5
N2,C91.1 word,C75.1 word,5.5
N2,256322-256314-21858879,256322-256314-22094276,6.4
N2,C109.2 word,C18.1 word,8.7
N2,C120.1 word,256322-256314-21799725,130.1
N2,256322-256314-21788390,C119.1 word,8.1
N2,C114.2 word,256322-256314-22466548,20.9
N2,C51.2 word,C61.1 word,3.9
N2,256322-256314-22039885,C74.1 word,6.1
N2,C115.1 word,C56.2 word,8.4
N2,C75.2 word,256322-256314-22759029,330
N2,C26.2 word,C41.1 word,3.5
N2,C105.1 word,C61.1 word,4.1
N2,C95.1 word,C118.2 word,6.7
N2,C43.1 word,C68.1 word,7.5
N2,C63.1 word,256322-256314-22824794,10
N2,256322-256314-22034134,C48.1 word,14.1
N2,C45.1 word,C22.1 word,19.5
N2,256322-256314-22034228,256322-256314-22824794,3.8
N2,C13.2 word,C64.2 word,8.9
N2,C30.1 word,C28.1 word,9.2
N2,C81.2 word,256322-256314-22780844,11.4
N2,C55.1 word,C91.1 word,22.3
N2,256322-256314-22824745,C65.2 word,91.7
N2,C14.2 word,C45.1 word,22.1
N2,C86.1 word,256322-256314-22094276,386.4
N2,C22.2 word,C35.1 word,4.8
N2,C72.1 word,C52.2 word,109.2
N2,C49.1 word,C44.2 word,4.3
N2,256322-256314-21787881,256322-256314-22114669,6.4
N2,C82.1 word,C85.1 word,8.2
N2,256322-256314-22828688,C61.2 word,48
N2,C34.1 word,C116.1 word,265.4
N2,256322-256314-22795338,C27.1 word,20.4
N2,C83.1 word,256322-256314-21787935,2.5
N2,C111.2 word,C113.1 word,4.6
N2,C83.2 word,256322-256314-21849538,19.5
N2,C60.2 word,C14.2 word,24.8
N2,256322-256314-21787437,C21.1 word,2
N2,C84.1 word,256322-256314-21787935,11.9
N2,C74.2 word,C79.2 word,355.1
N2,C26.1 word,C72.2 word,11.1
N2,C86.1 word,C110.2 word,20.3
N2,C92.1 word,C65.2 word,56.4
N2,C32.1 word,C30.1 word,15.7
N2,C94.1 word,C3.2 word,18
N2,C109.2 word,C90.1 word,4.9
N2,256322-256314-22828688,256322-256314-21787437,110.6
N2,C99.1 word,C32.1 word,5.7
N2,C11.2 word,C61.1 word,11.1
N2,256322-256314-21788135,C90.1 word,13.5
N2,C42.2 word,C47.2 word,17.4
N2,C32.1 word,C31.1 word,27.8
N2,C115.2 word,C25.2 word,16.6
N2,C59.2 word,C59.1 word,9
N2,C105.1 word,C25.1 word,22.8
N2,C50.1 word,256322-256314-21847156,22.2
N2,C54.2 word,256322-256314-22088225,24.7
N2,C37.1 word,C86.1 word,26.3
N2,256322-256314-22779100,256322-256314-22039322,25.6
N3,C79.2 word,C107.1 word,11.3
N3,C33.1 word,C105.2 word,9
N3,256322-256314-21849538,256322-256314-21787574,14.5
N3,C77.1 word,256322-256314-21847156,21.3
N3,C45.2 word,256322-256314-21851432,22.5
N3,C109.1 word,C48.1 word,9
N3,C23.2 word,C117.1 word,9.2
N3,C118.2 word,256322-256314-22466548,12.4
N3,C82.1 word,C44.2 word,15.3
N3,C14.2 word,256322-256314-22780844,34.6
N3,C56.2 word,C76.1 word,6.1
N3,C31.1 word,256322-256314-22824759,8.7
N3,C73.2 word,C22.2 word,14.1
N3,C84.1 word,256322-256314-21788277,6.9
N3,C58.2 word,C52.1 word,11.3
N3,256322-256314-21848795,C57.1 word,14.5
N3,C106.1 word,C97.1 word,16.3
N3,C75.1 word,C79.2 word,16.5
N3,C43.1 word,256322-256314-22034228,13.5
N3,256322-256314-21855861,C120.1 word,15.7
N3,C12.2 word,C65.1 word,17.2
N3,C20.1 word,C19.1 word,20.6
N3,C73.2 word,C29.1 word,8.5
N3,256322-256314-21788344,C62.1 word,8.6
N3,256322-256314-22159528,C84.2 word,12.4
N3,C29.1 word,C80.2 word,14
N3,C95.1 word,256322-256314-21799725,19.6
N3,256322-256314-21788390,C26.2 word,14.8
N3,C46.2 word,C101.2 word,15.5
N3,C102.2 word,C81.1 word,22.5
N3,C97.1 word,C2.2 word,8.8
N3,C103.2 word,256322-256314-21800794,13.4
N3,C59.2 word,256322-256314-21788277,14.7
N3,C86.1 word,C114.2 word,16.9
N3,C15.2 word,C26.2 word,10.3
N3,256322-256314-21839336,C115.2 word,11.2
N3,256322-256314-22041283,C16.1 word,15.1
N3,C94.1 word,C12.2 word,18.8
N3,C58.2 word,C81.1 word,8.4
N3,256322-256314-22034134,256322-256314-22759029,14.5
N3,C94.1 word,C115.1 word,19.1
